,Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
0,BANGARPET,01/01/2020,AVERAGE,1,Quintal,2000.0,2800.0,2500.0
1,BANGARPET,02/01/2020,AVERAGE,1,Quintal,1800.0,2000.0,1900.0
2,BANGARPET,03/01/2020,AVERAGE,4,Quintal,2000.0,2500.0,2200.0
3,BANGARPET,04/01/2020,AVERAGE,3,Quintal,2000.0,2800.0,2600.0
4,BANGARPET,06/01/2020,AVERAGE,3,Quintal,2000.0,2600.0,2400.0
5,BANGARPET,07/01/2020,AVERAGE,2,Quintal,2000.0,2600.0,2200.0
6,BANGARPET,08/01/2020,AVERAGE,1,Quintal,2000.0,2500.0,2300.0
7,BANGARPET,09/01/2020,AVERAGE,2,Quintal,1800.0,2600.0,2200.0
8,BANGARPET,10/01/2020,AVERAGE,1,Quintal,1800.0,2600.0,2200.0
9,BANGARPET,13/01/2020,AVERAGE,2,Quintal,2000.0,3000.0,2500.0
10,BANGARPET,14/01/2020,AVERAGE,4,Quintal,2000.0,3000.0,2500.0
11,BANGARPET,15/01/2020,AVERAGE,1,Quintal,2000.0,3000.0,2500.0
12,BANGARPET,16/01/2020,AVERAGE,2,Quintal,2300.0,3000.0,2800.0
13,BANGARPET,17/01/2020,AVERAGE,5,Quintal,2500.0,3000.0,2800.0
14,BANGARPET,18/01/2020,AVERAGE,3,Quintal,2000.0,2200.0,2100.0
15,BANGARPET,20/01/2020,AVERAGE,8,Quintal,2000.0,2800.0,2500.0
16,BANGARPET,21/01/2020,AVERAGE,2,Quintal,2000.0,3000.0,2500.0
17,BANGARPET,22/01/2020,AVERAGE,2,Quintal,2000.0,2500.0,2200.0
18,BANGARPET,23/01/2020,AVERAGE,4,Quintal,2000.0,2500.0,2200.0
19,BANGARPET,24/01/2020,AVERAGE,4,Quintal,2000.0,2500.0,2300.0
20,BANGARPET,25/01/2020,AVERAGE,3,Quintal,1500.0,2000.0,1800.0
21,BANGARPET,27/01/2020,AVERAGE,3,Quintal,1800.0,2500.0,2000.0
22,BANGARPET,28/01/2020,AVERAGE,2,Quintal,1500.0,2000.0,1800.0
23,BANGARPET,29/01/2020,AVERAGE,4,Quintal,2000.0,3000.0,2500.0
24,BANGARPET,30/01/2020,AVERAGE,2,Quintal,1800.0,2500.0,2000.0
25,BANGARPET,31/01/2020,AVERAGE,2,Quintal,2000.0,2800.0,2400.0
26,BINNY MILL (F&V),01/01/2020,AVERAGE,182,Quintal,2000.0,3000.0,2500.0
27,BINNY MILL (F&V),02/01/2020,AVERAGE,134,Quintal,2500.0,3000.0,2800.0
28,BINNY MILL (F&V),03/01/2020,AVERAGE,116,Quintal,2000.0,3000.0,2500.0
29,BINNY MILL (F&V),04/01/2020,AVERAGE,171,Quintal,2500.0,3500.0,3000.0
30,BINNY MILL (F&V),06/01/2020,AVERAGE,133,Quintal,2500.0,3500.0,3000.0
31,BINNY MILL (F&V),07/01/2020,AVERAGE,215,Quintal,2500.0,3500.0,3000.0
32,BINNY MILL (F&V),08/01/2020,AVERAGE,101,Quintal,2500.0,3000.0,2800.0
33,BINNY MILL (F&V),09/01/2020,AVERAGE,109,Quintal,2500.0,3000.0,2800.0
34,BINNY MILL (F&V),10/01/2020,AVERAGE,181,Quintal,2500.0,3500.0,3000.0
35,BINNY MILL (F&V),13/01/2020,AVERAGE,222,Quintal,3000.0,4000.0,3500.0
36,BINNY MILL (F&V),14/01/2020,AVERAGE,88,Quintal,3500.0,4500.0,4000.0
37,BINNY MILL (F&V),16/01/2020,AVERAGE,147,Quintal,3000.0,4500.0,3500.0
38,BINNY MILL (F&V),17/01/2020,AVERAGE,82,Quintal,2500.0,3500.0,3000.0
