Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
ARSIKERE,09/01/2020,AVERAGE,5,Quintal,2000.0,2000.0,2000.0
,20/01/2020,AVERAGE,4,Quintal,9800.0,9800.0,9800.0
,23/01/2020,AVERAGE,5,Quintal,2000.0,2000.0,2000.0
,24/01/2020,AVERAGE,14,Quintal,1647.0,2000.0,1647.0
,28/01/2020,AVERAGE,4,Quintal,1500.0,1500.0,1500.0
,30/01/2020,AVERAGE,10,Quintal,2000.0,2000.0,2000.0
Sub Total,Sub Total,Sub Total,42,,,,
BANGARPET,01/01/2020,AVERAGE,1,Quintal,2000.0,2800.0,2500.0
,02/01/2020,AVERAGE,1,Quintal,1800.0,2000.0,1900.0
,03/01/2020,AVERAGE,4,Quintal,2000.0,2500.0,2200.0
,04/01/2020,AVERAGE,3,Quintal,2000.0,2800.0,2600.0
,06/01/2020,AVERAGE,3,Quintal,2000.0,2600.0,2400.0
,07/01/2020,AVERAGE,2,Quintal,2000.0,2600.0,2200.0
,08/01/2020,AVERAGE,1,Quintal,2000.0,2500.0,2300.0
,09/01/2020,AVERAGE,2,Quintal,1800.0,2600.0,2200.0
,10/01/2020,AVERAGE,1,Quintal,1800.0,2600.0,2200.0
,13/01/2020,AVERAGE,2,Quintal,2000.0,3000.0,2500.0
,14/01/2020,AVERAGE,4,Quintal,2000.0,3000.0,2500.0
,15/01/2020,AVERAGE,1,Quintal,2000.0,3000.0,2500.0
,16/01/2020,AVERAGE,2,Quintal,2300.0,3000.0,2800.0
,17/01/2020,AVERAGE,5,Quintal,2500.0,3000.0,2800.0
,18/01/2020,AVERAGE,3,Quintal,2000.0,2200.0,2100.0
,20/01/2020,AVERAGE,8,Quintal,2000.0,2800.0,2500.0
,21/01/2020,AVERAGE,2,Quintal,2000.0,3000.0,2500.0
,22/01/2020,AVERAGE,2,Quintal,2000.0,2500.0,2200.0
,23/01/2020,AVERAGE,4,Quintal,2000.0,2500.0,2200.0
,24/01/2020,AVERAGE,4,Quintal,2000.0,2500.0,2300.0
,25/01/2020,AVERAGE,3,Quintal,1500.0,2000.0,1800.0
,27/01/2020,AVERAGE,3,Quintal,1800.0,2500.0,2000.0
,28/01/2020,AVERAGE,2,Quintal,1500.0,2000.0,1800.0
,29/01/2020,AVERAGE,4,Quintal,2000.0,3000.0,2500.0
,30/01/2020,AVERAGE,2,Quintal,1800.0,2500.0,2000.0
,31/01/2020,AVERAGE,2,Quintal,2000.0,2800.0,2400.0
Sub Total,Sub Total,Sub Total,71,,,,
BINNY MILL (F&V),01/01/2020,AVERAGE,182,Quintal,2000.0,3000.0,2500.0
,02/01/2020,AVERAGE,134,Quintal,2500.0,3000.0,2800.0
,03/01/2020,AVERAGE,116,Quintal,2000.0,3000.0,2500.0
,04/01/2020,AVERAGE,171,Quintal,2500.0,3500.0,3000.0
,06/01/2020,AVERAGE,133,Quintal,2500.0,3500.0,3000.0
,07/01/2020,AVERAGE,215,Quintal,2500.0,3500.0,3000.0
,08/01/2020,AVERAGE,101,Quintal,2500.0,3000.0,2800.0
,09/01/2020,AVERAGE,109,Quintal,2500.0,3000.0,2800.0
,10/01/2020,AVERAGE,181,Quintal,2500.0,3500.0,3000.0
,13/01/2020,AVERAGE,222,Quintal,3000.0,4000.0,3500.0
,14/01/2020,AVERAGE,88,Quintal,3500.0,4500.0,4000.0
,16/01/2020,AVERAGE,147,Quintal,3000.0,4500.0,3500.0
,17/01/2020,AVERAGE,82,Quintal,2500.0,3500.0,3000.0
,18/01/2020,AVERAGE,169,Quintal,2500.0,4000.0,3000.0
,20/01/2020,AVERAGE,123,Quintal,2500.0,4000.0,3000.0
,21/01/2020,AVERAGE,122,Quintal,2000.0,3000.0,2500.0
,22/01/2020,AVERAGE,133,Quintal,2400.0,3000.0,2800.0
,23/01/2020,AVERAGE,134,Quintal,2000.0,3000.0,2500.0
,24/01/2020,AVERAGE,92,Quintal,2000.0,3000.0,2500.0
,27/01/2020,AVERAGE,180,Quintal,2500.0,3500.0,3000.0
,28/01/2020,AVERAGE,193,Quintal,2200.0,3200.0,2800.0
,29/01/2020,AVERAGE,89,Quintal,2000.0,3000.0,2500.0
,30/01/2020,AVERAGE,214,Quintal,2800.0,3200.0,3000.0
,31/01/2020,AVERAGE,148,Quintal,2600.0,3200.0,2800.0
Sub Total,Sub Total,Sub Total,3478,,,,
C.R.NAGAR,02/01/2020,AVERAGE,1,Quintal,1800.0,2500.0,2300.0
,03/01/2020,AVERAGE,1,Quintal,1000.0,2500.0,2000.0
,04/01/2020,AVERAGE,1,Quintal,2200.0,4000.0,2300.0
,06/01/2020,AVERAGE,1,Quintal,2200.0,2600.0,2400.0
,07/01/2020,AVERAGE,1,Quintal,1800.0,2200.0,2000.0
