,Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
0,BANGARPET,02/01/2020,AVERAGE,1,Quintal,1500.0,1800.0,1600.0
1,BANGARPET,06/01/2020,AVERAGE,1,Quintal,1300.0,1900.0,1600.0
2,BANGARPET,07/01/2020,AVERAGE,2,Quintal,1000.0,1800.0,1200.0
3,BANGARPET,09/01/2020,AVERAGE,1,Quintal,1000.0,1500.0,1200.0
4,BANGARPET,10/01/2020,AVERAGE,1,Quintal,1000.0,1500.0,1200.0
5,BANGARPET,11/01/2020,AVERAGE,2,Quintal,1000.0,1500.0,1200.0
6,BANGARPET,13/01/2020,AVERAGE,1,Quintal,1000.0,1400.0,1200.0
7,BANGARPET,14/01/2020,AVERAGE,2,Quintal,1000.0,1500.0,1200.0
8,BANGARPET,20/01/2020,AVERAGE,2,Quintal,1000.0,1500.0,1300.0
9,BANGARPET,23/01/2020,AVERAGE,1,Quintal,1000.0,1500.0,1300.0
10,BANGARPET,24/01/2020,AVERAGE,2,Quintal,800.0,1200.0,1000.0
11,BANGARPET,25/01/2020,AVERAGE,2,Quintal,800.0,1000.0,900.0
12,BANGARPET,27/01/2020,AVERAGE,1,Quintal,800.0,1200.0,1000.0
13,BANGARPET,28/01/2020,AVERAGE,1,Quintal,800.0,1000.0,900.0
14,BANGARPET,30/01/2020,AVERAGE,1,Quintal,800.0,1200.0,1000.0
15,BINNY MILL (F&V),01/01/2020,AVERAGE,185,Quintal,2600.0,3000.0,2800.0
16,BINNY MILL (F&V),02/01/2020,AVERAGE,132,Quintal,2600.0,3200.0,2800.0
17,BINNY MILL (F&V),03/01/2020,AVERAGE,183,Quintal,2800.0,3000.0,2900.0
18,BINNY MILL (F&V),04/01/2020,AVERAGE,161,Quintal,2600.0,3000.0,2800.0
19,BINNY MILL (F&V),06/01/2020,AVERAGE,246,Quintal,2800.0,3200.0,3000.0
20,BINNY MILL (F&V),07/01/2020,AVERAGE,207,Quintal,2800.0,3200.0,3000.0
21,BINNY MILL (F&V),08/01/2020,AVERAGE,207,Quintal,2600.0,3000.0,2800.0
22,BINNY MILL (F&V),09/01/2020,AVERAGE,181,Quintal,2200.0,2600.0,2400.0
23,BINNY MILL (F&V),10/01/2020,AVERAGE,207,Quintal,1800.0,2200.0,2000.0
24,BINNY MILL (F&V),13/01/2020,AVERAGE,385,Quintal,1800.0,2400.0,2000.0
25,BINNY MILL (F&V),14/01/2020,AVERAGE,182,Quintal,1800.0,2200.0,2000.0
26,BINNY MILL (F&V),16/01/2020,AVERAGE,229,Quintal,1600.0,2000.0,1800.0
27,BINNY MILL (F&V),17/01/2020,AVERAGE,148,Quintal,1400.0,2000.0,1800.0
28,BINNY MILL (F&V),18/01/2020,AVERAGE,204,Quintal,1400.0,2000.0,1800.0
29,BINNY MILL (F&V),20/01/2020,AVERAGE,186,Quintal,1400.0,2000.0,1800.0
30,BINNY MILL (F&V),21/01/2020,AVERAGE,169,Quintal,1400.0,2000.0,1800.0
31,BINNY MILL (F&V),22/01/2020,AVERAGE,165,Quintal,1500.0,2000.0,1800.0
32,BINNY MILL (F&V),23/01/2020,AVERAGE,193,Quintal,1400.0,1800.0,1600.0
33,BINNY MILL (F&V),24/01/2020,AVERAGE,204,Quintal,1400.0,1800.0,1600.0
34,BINNY MILL (F&V),27/01/2020,AVERAGE,378,Quintal,1600.0,2000.0,1800.0
35,BINNY MILL (F&V),28/01/2020,AVERAGE,250,Quintal,1600.0,2000.0,1800.0
36,BINNY MILL (F&V),29/01/2020,AVERAGE,206,Quintal,1400.0,1800.0,1600.0
37,BINNY MILL (F&V),30/01/2020,AVERAGE,216,Quintal,1400.0,1800.0,1600.0
38,BINNY MILL (F&V),31/01/2020,AVERAGE,231,Quintal,1400.0,1800.0,1600.0
39,C.R.NAGAR,02/01/2020,AVERAGE,1,Quintal,2000.0,2500.0,2400.0
40,C.R.NAGAR,04/01/2020,AVERAGE,1,Quintal,1500.0,2500.0,2200.0
41,C.R.NAGAR,06/01/2020,AVERAGE,1,Quintal,800.0,1000.0,900.0
42,C.R.NAGAR,07/01/2020,AVERAGE,1,Quintal,1900.0,2500.0,2000.0
43,C.R.NAGAR,08/01/2020,AVERAGE,11,Quintal,1300.0,1500.0,1400.0
44,C.R.NAGAR,10/01/2020,AVERAGE,1,Quintal,1800.0,2200.0,2000.0
45,C.R.NAGAR,11/01/2020,AVERAGE,1,Quintal,1000.0,1600.0,1200.0
46,C.R.NAGAR,16/01/2020,AVERAGE,1,Quintal,1000.0,1200.0,1100.0
47,C.R.NAGAR,18/01/2020,AVERAGE,1,Quintal,200.0,1300.0,1000.0
48,C.R.NAGAR,23/01/2020,AVERAGE,1,Quintal,600.0,1000.0,800.0
49,C.R.NAGAR,24/01/2020,AVERAGE,1,Quintal,600.0,1300.0,1000.0
50,CHICKBALLAPUR,01/01/2020,AVERAGE,10,Quintal,1200.0,1500.0,1300.0
51,CHICKBALLAPUR,04/01/2020,AVERAGE,35,Quintal,1200.0,1500.0,1300.0
52,CHICKBALLAPUR,05/01/2020,AVERAGE,40,Quintal,1200.0,1500.0,1400.0
53,CHICKBALLAPUR,06/01/2020,AVERAGE,45,Quintal,1200.0,1500.0,1400.0
54,CHICKBALLAPUR,07/01/2020,AVERAGE,49,Quintal,1200.0,1500.0,1300.0
55,CHICKBALLAPUR,08/01/2020,AVERAGE,20,Quintal,1200.0,1400.0,1300.0
56,CHICKBALLAPUR,10/01/2020,AVERAGE,80,Quintal,1000.0,1400.0,1200.0
57,CHICKBALLAPUR,11/01/2020,AVERAGE,40,Quintal,1000.0,1400.0,1200.0
58,CHICKBALLAPUR,12/01/2020,AVERAGE,32,Quintal,1000.0,1400.0,1200.0
59,CHICKBALLAPUR,13/01/2020,AVERAGE,50,Quintal,800.0,1000.0,900.0
60,CHICKBALLAPUR,14/01/2020,AVERAGE,75,Quintal,800.0,1000.0,900.0
61,CHICKBALLAPUR,15/01/2020,AVERAGE,20,Quintal,800.0,1000.0,900.0
62,CHICKBALLAPUR,17/01/2020,AVERAGE,99,Quintal,800.0,1000.0,900.0
63,CHICKBALLAPUR,18/01/2020,AVERAGE,25,Quintal,800.0,1200.0,1000.0
64,CHICKBALLAPUR,19/01/2020,AVERAGE,59,Quintal,800.0,1200.0,1000.0
65,CHICKBALLAPUR,20/01/2020,AVERAGE,78,Quintal,700.0,900.0,800.0
66,CHICKBALLAPUR,21/01/2020,AVERAGE,79,Quintal,700.0,1000.0,800.0
67,CHICKBALLAPUR,22/01/2020,AVERAGE,62,Quintal,700.0,900.0,800.0
68,CHICKBALLAPUR,24/01/2020,AVERAGE,86,Quintal,700.0,900.0,800.0
69,CHICKBALLAPUR,25/01/2020,AVERAGE,30,Quintal,700.0,900.0,800.0
70,CHICKBALLAPUR,26/01/2020,AVERAGE,56,Quintal,700.0,900.0,800.0
71,CHICKBALLAPUR,27/01/2020,AVERAGE,40,Quintal,700.0,900.0,800.0
72,CHICKBALLAPUR,28/01/2020,AVERAGE,45,Quintal,1500.0,2000.0,1800.0
73,CHICKBALLAPUR,29/01/2020,AVERAGE,50,Quintal,500.0,700.0,600.0
74,CHICKBALLAPUR,31/01/2020,AVERAGE,67,Quintal,500.0,600.0,550.0
75,DODDABALLAPUR,01/01/2020,AVERAGE,4,Quintal,2000.0,2800.0,2400.0
76,DODDABALLAPUR,02/01/2020,AVERAGE,3,Quintal,2000.0,2800.0,2400.0
77,DODDABALLAPUR,03/01/2020,AVERAGE,4,Quintal,2000.0,2800.0,2400.0
78,DODDABALLAPUR,04/01/2020,AVERAGE,4,Quintal,2000.0,2800.0,2400.0
79,DODDABALLAPUR,06/01/2020,AVERAGE,3,Quintal,2000.0,2800.0,2400.0
80,DODDABALLAPUR,07/01/2020,AVERAGE,4,Quintal,2000.0,2800.0,2400.0
81,DODDABALLAPUR,08/01/2020,AVERAGE,4,Quintal,2000.0,2600.0,2300.0
82,DODDABALLAPUR,09/01/2020,AVERAGE,4,Quintal,2000.0,2800.0,2400.0
