Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
BANGARPET,02/01/2020,AVERAGE,1,Quintal,1500.0,1800.0,1600.0
,06/01/2020,AVERAGE,1,Quintal,1300.0,1900.0,1600.0
,07/01/2020,AVERAGE,2,Quintal,1000.0,1800.0,1200.0
,09/01/2020,AVERAGE,1,Quintal,1000.0,1500.0,1200.0
,10/01/2020,AVERAGE,1,Quintal,1000.0,1500.0,1200.0
,11/01/2020,AVERAGE,2,Quintal,1000.0,1500.0,1200.0
,13/01/2020,AVERAGE,1,Quintal,1000.0,1400.0,1200.0
,14/01/2020,AVERAGE,2,Quintal,1000.0,1500.0,1200.0
,20/01/2020,AVERAGE,2,Quintal,1000.0,1500.0,1300.0
,23/01/2020,AVERAGE,1,Quintal,1000.0,1500.0,1300.0
,24/01/2020,AVERAGE,2,Quintal,800.0,1200.0,1000.0
,25/01/2020,AVERAGE,2,Quintal,800.0,1000.0,900.0
,27/01/2020,AVERAGE,1,Quintal,800.0,1200.0,1000.0
,28/01/2020,AVERAGE,1,Quintal,800.0,1000.0,900.0
,30/01/2020,AVERAGE,1,Quintal,800.0,1200.0,1000.0
Sub Total,Sub Total,Sub Total,21,,,,
BINNY MILL (F&V),01/01/2020,AVERAGE,185,Quintal,2600.0,3000.0,2800.0
,02/01/2020,AVERAGE,132,Quintal,2600.0,3200.0,2800.0
,03/01/2020,AVERAGE,183,Quintal,2800.0,3000.0,2900.0
,04/01/2020,AVERAGE,161,Quintal,2600.0,3000.0,2800.0
,06/01/2020,AVERAGE,246,Quintal,2800.0,3200.0,3000.0
,07/01/2020,AVERAGE,207,Quintal,2800.0,3200.0,3000.0
,08/01/2020,AVERAGE,207,Quintal,2600.0,3000.0,2800.0
,09/01/2020,AVERAGE,181,Quintal,2200.0,2600.0,2400.0
,10/01/2020,AVERAGE,207,Quintal,1800.0,2200.0,2000.0
,13/01/2020,AVERAGE,385,Quintal,1800.0,2400.0,2000.0
,14/01/2020,AVERAGE,182,Quintal,1800.0,2200.0,2000.0
,16/01/2020,AVERAGE,229,Quintal,1600.0,2000.0,1800.0
,17/01/2020,AVERAGE,148,Quintal,1400.0,2000.0,1800.0
,18/01/2020,AVERAGE,204,Quintal,1400.0,2000.0,1800.0
,20/01/2020,AVERAGE,186,Quintal,1400.0,2000.0,1800.0
,21/01/2020,AVERAGE,169,Quintal,1400.0,2000.0,1800.0
,22/01/2020,AVERAGE,165,Quintal,1500.0,2000.0,1800.0
,23/01/2020,AVERAGE,193,Quintal,1400.0,1800.0,1600.0
,24/01/2020,AVERAGE,204,Quintal,1400.0,1800.0,1600.0
,27/01/2020,AVERAGE,378,Quintal,1600.0,2000.0,1800.0
,28/01/2020,AVERAGE,250,Quintal,1600.0,2000.0,1800.0
,29/01/2020,AVERAGE,206,Quintal,1400.0,1800.0,1600.0
,30/01/2020,AVERAGE,216,Quintal,1400.0,1800.0,1600.0
,31/01/2020,AVERAGE,231,Quintal,1400.0,1800.0,1600.0
Sub Total,Sub Total,Sub Total,5055,,,,
C.R.NAGAR,02/01/2020,AVERAGE,1,Quintal,2000.0,2500.0,2400.0
,04/01/2020,AVERAGE,1,Quintal,1500.0,2500.0,2200.0
,06/01/2020,AVERAGE,1,Quintal,800.0,1000.0,900.0
,07/01/2020,AVERAGE,1,Quintal,1900.0,2500.0,2000.0
,08/01/2020,AVERAGE,11,Quintal,1300.0,1500.0,1400.0
,10/01/2020,AVERAGE,1,Quintal,1800.0,2200.0,2000.0
,11/01/2020,AVERAGE,1,Quintal,1000.0,1600.0,1200.0
,16/01/2020,AVERAGE,1,Quintal,1000.0,1200.0,1100.0
,18/01/2020,AVERAGE,1,Quintal,200.0,1300.0,1000.0
,23/01/2020,AVERAGE,1,Quintal,600.0,1000.0,800.0
,24/01/2020,AVERAGE,1,Quintal,600.0,1300.0,1000.0
Sub Total,Sub Total,Sub Total,21,,,,
C.R.PATNA,08/01/2020,AVERAGE,3,Quintal,2000.0,2000.0,2000.0
,09/01/2020,AVERAGE,8,Quintal,2000.0,2000.0,2000.0
Sub Total,Sub Total,Sub Total,11,,,,
CHICKBALLAPUR,01/01/2020,AVERAGE,10,Quintal,1200.0,1500.0,1300.0
,04/01/2020,AVERAGE,35,Quintal,1200.0,1500.0,1300.0
,05/01/2020,AVERAGE,40,Quintal,1200.0,1500.0,1400.0
,06/01/2020,AVERAGE,45,Quintal,1200.0,1500.0,1400.0
,07/01/2020,AVERAGE,49,Quintal,1200.0,1500.0,1300.0
,08/01/2020,AVERAGE,20,Quintal,1200.0,1400.0,1300.0
,10/01/2020,AVERAGE,80,Quintal,1000.0,1400.0,1200.0
,11/01/2020,AVERAGE,40,Quintal,1000.0,1400.0,1200.0
,12/01/2020,AVERAGE,32,Quintal,1000.0,1400.0,1200.0
,13/01/2020,AVERAGE,50,Quintal,800.0,1000.0,900.0
,14/01/2020,AVERAGE,75,Quintal,800.0,1000.0,900.0
,15/01/2020,AVERAGE,20,Quintal,800.0,1000.0,900.0
,17/01/2020,AVERAGE,99,Quintal,800.0,1000.0,900.0
,18/01/2020,AVERAGE,25,Quintal,800.0,1200.0,1000.0
,19/01/2020,AVERAGE,59,Quintal,800.0,1200.0,1000.0
