,Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
0,BANGARPET,06/01/2020,AVERAGE,1,Quintal,700.0,900.0,800.0
1,BANGARPET,10/01/2020,AVERAGE,1,Quintal,700.0,900.0,800.0
2,BANGARPET,11/01/2020,AVERAGE,2,Quintal,500.0,600.0,550.0
3,BANGARPET,13/01/2020,AVERAGE,2,Quintal,500.0,700.0,600.0
4,BANGARPET,14/01/2020,AVERAGE,2,Quintal,500.0,700.0,600.0
5,BANGARPET,20/01/2020,AVERAGE,1,Quintal,500.0,600.0,550.0
6,BANGARPET,21/01/2020,AVERAGE,1,Quintal,500.0,600.0,520.0
7,BANGARPET,25/01/2020,AVERAGE,1,Quintal,500.0,600.0,550.0
8,BANGARPET,28/01/2020,AVERAGE,1,Quintal,500.0,700.0,600.0
9,BANGARPET,30/01/2020,AVERAGE,1,Quintal,600.0,700.0,650.0
10,BINNY MILL (F&V),01/01/2020,AVERAGE,416,Quintal,1000.0,1600.0,1300.0
11,BINNY MILL (F&V),02/01/2020,AVERAGE,423,Quintal,1000.0,1700.0,1400.0
12,BINNY MILL (F&V),03/01/2020,AVERAGE,390,Quintal,1200.0,1800.0,1500.0
13,BINNY MILL (F&V),04/01/2020,AVERAGE,497,Quintal,1400.0,1800.0,1600.0
14,BINNY MILL (F&V),06/01/2020,AVERAGE,525,Quintal,1200.0,1600.0,1400.0
15,BINNY MILL (F&V),07/01/2020,AVERAGE,683,Quintal,1400.0,1800.0,1600.0
16,BINNY MILL (F&V),08/01/2020,AVERAGE,401,Quintal,1200.0,1600.0,1400.0
17,BINNY MILL (F&V),09/01/2020,AVERAGE,398,Quintal,1200.0,1600.0,1400.0
18,BINNY MILL (F&V),10/01/2020,AVERAGE,410,Quintal,1300.0,1600.0,1500.0
19,BINNY MILL (F&V),13/01/2020,AVERAGE,768,Quintal,1400.0,1800.0,1600.0
20,BINNY MILL (F&V),14/01/2020,AVERAGE,501,Quintal,1000.0,1400.0,1200.0
21,BINNY MILL (F&V),16/01/2020,AVERAGE,457,Quintal,1000.0,1500.0,1300.0
22,BINNY MILL (F&V),17/01/2020,AVERAGE,561,Quintal,1000.0,1400.0,1200.0
23,BINNY MILL (F&V),18/01/2020,AVERAGE,463,Quintal,800.0,1200.0,1000.0
24,BINNY MILL (F&V),20/01/2020,AVERAGE,519,Quintal,800.0,1200.0,1000.0
25,BINNY MILL (F&V),21/01/2020,AVERAGE,121,Quintal,1600.0,2000.0,1800.0
26,BINNY MILL (F&V),22/01/2020,AVERAGE,401,Quintal,800.0,1400.0,1000.0
27,BINNY MILL (F&V),23/01/2020,AVERAGE,376,Quintal,800.0,1200.0,1000.0
28,BINNY MILL (F&V),24/01/2020,AVERAGE,498,Quintal,800.0,1200.0,1000.0
29,BINNY MILL (F&V),27/01/2020,AVERAGE,734,Quintal,800.0,1200.0,1000.0
30,BINNY MILL (F&V),28/01/2020,AVERAGE,630,Quintal,800.0,1200.0,1000.0
31,BINNY MILL (F&V),29/01/2020,AVERAGE,499,Quintal,800.0,1200.0,1000.0
32,BINNY MILL (F&V),30/01/2020,AVERAGE,430,Quintal,800.0,1200.0,1000.0
33,BINNY MILL (F&V),31/01/2020,AVERAGE,469,Quintal,600.0,1000.0,800.0
34,C.R.NAGAR,03/01/2020,AVERAGE,1,Quintal,800.0,1000.0,900.0
35,C.R.NAGAR,04/01/2020,AVERAGE,1,Quintal,1000.0,1400.0,1200.0
36,C.R.NAGAR,06/01/2020,AVERAGE,1,Quintal,800.0,1000.0,900.0
37,C.R.NAGAR,07/01/2020,AVERAGE,1,Quintal,800.0,1000.0,900.0
38,C.R.NAGAR,08/01/2020,AVERAGE,1,Quintal,900.0,1100.0,1000.0
39,C.R.NAGAR,09/01/2020,AVERAGE,1,Quintal,800.0,1000.0,900.0
40,C.R.NAGAR,11/01/2020,AVERAGE,1,Quintal,800.0,800.0,800.0
41,C.R.NAGAR,16/01/2020,AVERAGE,1,Quintal,500.0,800.0,600.0
42,C.R.NAGAR,18/01/2020,AVERAGE,1,Quintal,400.0,600.0,500.0
43,C.R.NAGAR,23/01/2020,AVERAGE,1,Quintal,400.0,500.0,450.0
44,C.R.NAGAR,24/01/2020,AVERAGE,1,Quintal,500.0,700.0,600.0
45,C.R.NAGAR,25/01/2020,AVERAGE,1,Quintal,400.0,700.0,500.0
46,C.R.NAGAR,31/01/2020,AVERAGE,1,Quintal,400.0,600.0,500.0
47,CHICKBALLAPUR,01/01/2020,AVERAGE,127,Quintal,400.0,600.0,500.0
48,CHICKBALLAPUR,04/01/2020,AVERAGE,87,Quintal,500.0,600.0,550.0
49,CHICKBALLAPUR,05/01/2020,AVERAGE,212,Quintal,500.0,600.0,550.0
50,CHICKBALLAPUR,06/01/2020,AVERAGE,145,Quintal,500.0,600.0,550.0
51,CHICKBALLAPUR,07/01/2020,AVERAGE,215,Quintal,400.0,500.0,450.0
52,CHICKBALLAPUR,08/01/2020,AVERAGE,105,Quintal,400.0,500.0,450.0
53,CHICKBALLAPUR,10/01/2020,AVERAGE,160,Quintal,400.0,600.0,500.0
54,CHICKBALLAPUR,11/01/2020,AVERAGE,260,Quintal,500.0,600.0,550.0
55,CHICKBALLAPUR,12/01/2020,AVERAGE,317,Quintal,400.0,500.0,450.0
56,CHICKBALLAPUR,13/01/2020,AVERAGE,65,Quintal,400.0,500.0,450.0
57,CHICKBALLAPUR,14/01/2020,AVERAGE,100,Quintal,400.0,600.0,500.0
58,CHICKBALLAPUR,15/01/2020,AVERAGE,75,Quintal,400.0,500.0,450.0
59,CHICKBALLAPUR,17/01/2020,AVERAGE,180,Quintal,400.0,600.0,500.0
60,CHICKBALLAPUR,18/01/2020,AVERAGE,132,Quintal,400.0,600.0,550.0
61,CHICKBALLAPUR,19/01/2020,AVERAGE,230,Quintal,500.0,800.0,750.0
62,CHICKBALLAPUR,20/01/2020,AVERAGE,1500,Quintal,52.0,62.0,60.0
63,CHICKBALLAPUR,21/01/2020,AVERAGE,1520,Quintal,42.0,52.0,45.0
64,CHICKBALLAPUR,22/01/2020,AVERAGE,1000,Quintal,52.0,62.0,58.0
65,CHICKBALLAPUR,25/01/2020,AVERAGE,122,Quintal,400.0,600.0,500.0
66,CHICKBALLAPUR,26/01/2020,AVERAGE,170,Quintal,400.0,600.0,500.0
67,CHICKBALLAPUR,27/01/2020,AVERAGE,100,Quintal,400.0,600.0,500.0
68,CHICKBALLAPUR,28/01/2020,AVERAGE,212,Quintal,400.0,600.0,500.0
69,CHICKBALLAPUR,29/01/2020,AVERAGE,187,Quintal,400.0,600.0,500.0
70,KOLAR,01/01/2020,AVERAGE,70,Quintal,600.0,800.0,700.0
71,KOLAR,02/01/2020,AVERAGE,85,Quintal,800.0,1000.0,900.0
72,KOLAR,03/01/2020,AVERAGE,195,Quintal,800.0,1000.0,900.0
73,KOLAR,05/01/2020,AVERAGE,132,Quintal,800.0,1000.0,900.0
74,KOLAR,06/01/2020,AVERAGE,145,Quintal,600.0,1000.0,800.0
75,KOLAR,07/01/2020,AVERAGE,89,Quintal,600.0,800.0,700.0
76,KOLAR,08/01/2020,AVERAGE,12,Quintal,600.0,800.0,700.0
77,KOLAR,09/01/2020,AVERAGE,105,Quintal,600.0,800.0,700.0
78,KOLAR,10/01/2020,AVERAGE,82,Quintal,600.0,800.0,700.0
79,KOLAR,12/01/2020,AVERAGE,102,Quintal,600.0,700.0,650.0
80,KOLAR,13/01/2020,AVERAGE,100,Quintal,600.0,800.0,700.0
81,KOLAR,14/01/2020,AVERAGE,98,Quintal,600.0,800.0,700.0
82,KOLAR,15/01/2020,AVERAGE,35,Quintal,600.0,700.0,650.0
83,KOLAR,16/01/2020,AVERAGE,20,Quintal,600.0,700.0,650.0
84,KOLAR,17/01/2020,AVERAGE,35,Quintal,600.0,1000.0,800.0
85,KOLAR,19/01/2020,AVERAGE,65,Quintal,600.0,800.0,700.0
86,KOLAR,20/01/2020,AVERAGE,95,Quintal,600.0,700.0,650.0
87,KOLAR,21/01/2020,AVERAGE,115,Quintal,600.0,700.0,650.0
88,KOLAR,22/01/2020,AVERAGE,77,Quintal,600.0,700.0,650.0
89,KOLAR,23/01/2020,AVERAGE,96,Quintal,600.0,700.0,650.0
90,KOLAR,24/01/2020,AVERAGE,90,Quintal,600.0,800.0,700.0
91,KOLAR,26/01/2020,AVERAGE,165,Quintal,600.0,800.0,700.0
92,KOLAR,27/01/2020,AVERAGE,95,Quintal,600.0,800.0,700.0
93,KOLAR,28/01/2020,AVERAGE,58,Quintal,600.0,800.0,700.0
94,KOLAR,29/01/2020,AVERAGE,100,Quintal,600.0,800.0,700.0
95,KOLAR,30/01/2020,AVERAGE,105,Quintal,600.0,700.0,650.0
96,KOLAR,31/01/2020,AVERAGE,95,Quintal,600.0,800.0,700.0
97,MYSURU,01/01/2020,AVERAGE,1005,Quintal,1100.0,1300.0,1250.0
98,MYSURU,02/01/2020,AVERAGE,1116,Quintal,1000.0,1200.0,1100.0
99,MYSURU,03/01/2020,AVERAGE,1102,Quintal,900.0,1100.0,1000.0
100,MYSURU,05/01/2020,AVERAGE,1110,Quintal,800.0,1000.0,900.0
101,MYSURU,06/01/2020,AVERAGE,1100,Quintal,800.0,1000.0,900.0
102,MYSURU,07/01/2020,AVERAGE,35,Quintal,800.0,1000.0,900.0
103,MYSURU,08/01/2020,AVERAGE,816,Quintal,900.0,1100.0,1000.0
104,MYSURU,09/01/2020,AVERAGE,824,Quintal,900.0,1100.0,1000.0
105,MYSURU,10/01/2020,AVERAGE,818,Quintal,1000.0,1200.0,1100.0
106,MYSURU,12/01/2020,AVERAGE,910,Quintal,900.0,1100.0,1000.0
107,MYSURU,13/01/2020,AVERAGE,905,Quintal,800.0,1000.0,900.0
108,MYSURU,14/01/2020,AVERAGE,1010,Quintal,700.0,900.0,800.0
109,MYSURU,15/01/2020,AVERAGE,1002,Quintal,700.0,900.0,800.0
110,MYSURU,16/01/2020,AVERAGE,1010,Quintal,800.0,1000.0,900.0
111,MYSURU,17/01/2020,AVERAGE,983,Quintal,800.0,1000.0,950.0
112,MYSURU,19/01/2020,AVERAGE,1015,Quintal,800.0,1000.0,900.0
113,MYSURU,20/01/2020,AVERAGE,1002,Quintal,800.0,1000.0,900.0
114,MYSURU,23/01/2020,AVERAGE,1196,Quintal,500.0,700.0,650.0
115,MYSURU,24/01/2020,AVERAGE,1190,Quintal,600.0,800.0,700.0
116,MYSURU,26/01/2020,AVERAGE,2011,Quintal,600.0,800.0,750.0
117,MYSURU,27/01/2020,AVERAGE,2004,Quintal,600.0,800.0,700.0
118,MYSURU,28/01/2020,AVERAGE,2015,Quintal,600.0,800.0,750.0
119,MYSURU,29/01/2020,AVERAGE,1860,Quintal,400.0,600.0,500.0
120,MYSURU,30/01/2020,AVERAGE,1910,Quintal,400.0,600.0,550.0
121,MYSURU,31/01/2020,AVERAGE,1895,Quintal,500.0,700.0,600.0
122,RAMANAGARA,01/01/2020,AVERAGE,12,Quintal,1400.0,1600.0,1500.0
123,RAMANAGARA,02/01/2020,AVERAGE,12,Quintal,1200.0,1600.0,1400.0
124,RAMANAGARA,03/01/2020,AVERAGE,10,Quintal,1200.0,1500.0,1400.0
125,RAMANAGARA,04/01/2020,AVERAGE,10,Quintal,1200.0,1400.0,1300.0
126,RAMANAGARA,06/01/2020,AVERAGE,10,Quintal,1000.0,1200.0,1100.0
127,RAMANAGARA,07/01/2020,AVERAGE,10,Quintal,1000.0,1200.0,1100.0
128,RAMANAGARA,08/01/2020,AVERAGE,10,Quintal,1000.0,1200.0,1100.0
129,RAMANAGARA,09/01/2020,AVERAGE,10,Quintal,1000.0,1200.0,1100.0
130,RAMANAGARA,10/01/2020,AVERAGE,10,Quintal,1000.0,1200.0,1100.0
131,RAMANAGARA,13/01/2020,AVERAGE,12,Quintal,800.0,1000.0,900.0
132,RAMANAGARA,14/01/2020,AVERAGE,10,Quintal,800.0,1000.0,900.0
133,RAMANAGARA,16/01/2020,AVERAGE,10,Quintal,900.0,1100.0,1000.0
134,RAMANAGARA,17/01/2020,AVERAGE,10,Quintal,800.0,1100.0,1000.0
135,RAMANAGARA,18/01/2020,AVERAGE,10,Quintal,1000.0,1200.0,1100.0
136,RAMANAGARA,20/01/2020,AVERAGE,11,Quintal,800.0,1000.0,900.0
137,RAMANAGARA,21/01/2020,AVERAGE,10,Quintal,800.0,1000.0,900.0
138,RAMANAGARA,22/01/2020,AVERAGE,10,Quintal,800.0,1000.0,900.0
139,RAMANAGARA,23/01/2020,AVERAGE,12,Quintal,800.0,1000.0,900.0
140,RAMANAGARA,24/01/2020,AVERAGE,10,Quintal,800.0,1000.0,900.0
141,RAMANAGARA,27/01/2020,AVERAGE,12,Quintal,900.0,1100.0,1000.0
142,RAMANAGARA,28/01/2020,AVERAGE,10,Quintal,800.0,1000.0,900.0
143,RAMANAGARA,29/01/2020,AVERAGE,10,Quintal,900.0,1100.0,1000.0
144,RAMANAGARA,30/01/2020,AVERAGE,10,Quintal,900.0,1100.0,1000.0
145,RAMANAGARA,31/01/2020,AVERAGE,10,Quintal,800.0,1000.0,900.0
146,BANGARPET,04/02/2020,AVERAGE,2,Quintal,400.0,600.0,500.0
147,BANGARPET,08/02/2020,AVERAGE,1,Quintal,300.0,500.0,400.0
148,BANGARPET,11/02/2020,AVERAGE,2,Quintal,200.0,400.0,300.0
149,BANGARPET,14/02/2020,AVERAGE,1,Quintal,300.0,400.0,350.0
