,Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
0,BANGARPET,02/01/2020,AVERAGE,1,Quintal,1500.0,1800.0,1600.0
1,BANGARPET,10/01/2020,AVERAGE,1,Quintal,1200.0,1800.0,1400.0
2,BANGARPET,13/01/2020,AVERAGE,1,Quintal,1200.0,1500.0,1300.0
3,BANGARPET,20/01/2020,AVERAGE,2,Quintal,1500.0,2000.0,1800.0
4,BANGARPET,22/01/2020,AVERAGE,1,Quintal,1500.0,2000.0,1800.0
5,BANGARPET,23/01/2020,AVERAGE,1,Quintal,1500.0,2000.0,1800.0
6,BANGARPET,24/01/2020,AVERAGE,1,Quintal,1100.0,1600.0,1200.0
7,BANGARPET,25/01/2020,AVERAGE,2,Quintal,1200.0,1800.0,1400.0
8,BANGARPET,28/01/2020,AVERAGE,1,Quintal,1300.0,1800.0,1600.0
9,BINNY MILL (F&V),01/01/2020,AVERAGE,62,Quintal,2600.0,3000.0,2800.0
10,BINNY MILL (F&V),02/01/2020,AVERAGE,53,Quintal,2800.0,3200.0,3000.0
11,BINNY MILL (F&V),03/01/2020,AVERAGE,39,Quintal,2600.0,3000.0,2800.0
12,BINNY MILL (F&V),04/01/2020,AVERAGE,71,Quintal,2600.0,3000.0,2800.0
13,BINNY MILL (F&V),06/01/2020,AVERAGE,126,Quintal,2800.0,3200.0,3000.0
14,BINNY MILL (F&V),07/01/2020,AVERAGE,122,Quintal,2600.0,3000.0,2800.0
15,BINNY MILL (F&V),08/01/2020,AVERAGE,65,Quintal,2400.0,2800.0,2600.0
16,BINNY MILL (F&V),09/01/2020,AVERAGE,69,Quintal,2600.0,2800.0,2700.0
17,BINNY MILL (F&V),10/01/2020,AVERAGE,139,Quintal,2200.0,2800.0,2500.0
18,BINNY MILL (F&V),13/01/2020,AVERAGE,105,Quintal,2800.0,3000.0,2900.0
19,BINNY MILL (F&V),14/01/2020,AVERAGE,82,Quintal,2600.0,3000.0,2800.0
20,BINNY MILL (F&V),16/01/2020,AVERAGE,98,Quintal,2400.0,3000.0,2800.0
21,BINNY MILL (F&V),17/01/2020,AVERAGE,73,Quintal,2400.0,2800.0,2600.0
22,BINNY MILL (F&V),18/01/2020,AVERAGE,68,Quintal,2200.0,2600.0,2400.0
23,BINNY MILL (F&V),20/01/2020,AVERAGE,85,Quintal,2000.0,2600.0,2300.0
24,BINNY MILL (F&V),21/01/2020,AVERAGE,58,Quintal,2000.0,2400.0,2200.0
25,BINNY MILL (F&V),22/01/2020,AVERAGE,60,Quintal,2200.0,2600.0,2400.0
26,BINNY MILL (F&V),23/01/2020,AVERAGE,98,Quintal,2400.0,2800.0,2600.0
27,BINNY MILL (F&V),24/01/2020,AVERAGE,102,Quintal,2400.0,2800.0,2600.0
28,BINNY MILL (F&V),27/01/2020,AVERAGE,143,Quintal,2600.0,2800.0,2700.0
29,BINNY MILL (F&V),28/01/2020,AVERAGE,89,Quintal,2400.0,2800.0,2600.0
30,BINNY MILL (F&V),29/01/2020,AVERAGE,104,Quintal,2400.0,2800.0,2600.0
31,BINNY MILL (F&V),30/01/2020,AVERAGE,74,Quintal,2400.0,2800.0,2600.0
32,BINNY MILL (F&V),31/01/2020,AVERAGE,86,Quintal,2000.0,2600.0,2300.0
33,CHICKBALLAPUR,01/01/2020,AVERAGE,4,Quintal,1800.0,2200.0,2000.0
34,CHICKBALLAPUR,04/01/2020,AVERAGE,32,Quintal,1800.0,2400.0,2000.0
35,CHICKBALLAPUR,05/01/2020,AVERAGE,58,Quintal,1800.0,2300.0,2000.0
