Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
BANGARPET,02/01/2020,AVERAGE,1,Quintal,1500.0,1800.0,1600.0
,10/01/2020,AVERAGE,1,Quintal,1200.0,1800.0,1400.0
,13/01/2020,AVERAGE,1,Quintal,1200.0,1500.0,1300.0
,20/01/2020,AVERAGE,2,Quintal,1500.0,2000.0,1800.0
,22/01/2020,AVERAGE,1,Quintal,1500.0,2000.0,1800.0
,23/01/2020,AVERAGE,1,Quintal,1500.0,2000.0,1800.0
,24/01/2020,AVERAGE,1,Quintal,1100.0,1600.0,1200.0
,25/01/2020,AVERAGE,2,Quintal,1200.0,1800.0,1400.0
,28/01/2020,AVERAGE,1,Quintal,1300.0,1800.0,1600.0
Sub Total,Sub Total,Sub Total,11,,,,
BINNY MILL (F&V),01/01/2020,AVERAGE,62,Quintal,2600.0,3000.0,2800.0
,02/01/2020,AVERAGE,53,Quintal,2800.0,3200.0,3000.0
,03/01/2020,AVERAGE,39,Quintal,2600.0,3000.0,2800.0
,04/01/2020,AVERAGE,71,Quintal,2600.0,3000.0,2800.0
,06/01/2020,AVERAGE,126,Quintal,2800.0,3200.0,3000.0
,07/01/2020,AVERAGE,122,Quintal,2600.0,3000.0,2800.0
,08/01/2020,AVERAGE,65,Quintal,2400.0,2800.0,2600.0
,09/01/2020,AVERAGE,69,Quintal,2600.0,2800.0,2700.0
,10/01/2020,AVERAGE,139,Quintal,2200.0,2800.0,2500.0
,13/01/2020,AVERAGE,105,Quintal,2800.0,3000.0,2900.0
,14/01/2020,AVERAGE,82,Quintal,2600.0,3000.0,2800.0
,16/01/2020,AVERAGE,98,Quintal,2400.0,3000.0,2800.0
,17/01/2020,AVERAGE,73,Quintal,2400.0,2800.0,2600.0
,18/01/2020,AVERAGE,68,Quintal,2200.0,2600.0,2400.0
,20/01/2020,AVERAGE,85,Quintal,2000.0,2600.0,2300.0
,21/01/2020,AVERAGE,58,Quintal,2000.0,2400.0,2200.0
,22/01/2020,AVERAGE,60,Quintal,2200.0,2600.0,2400.0
,23/01/2020,AVERAGE,98,Quintal,2400.0,2800.0,2600.0
,24/01/2020,AVERAGE,102,Quintal,2400.0,2800.0,2600.0
,27/01/2020,AVERAGE,143,Quintal,2600.0,2800.0,2700.0
,28/01/2020,AVERAGE,89,Quintal,2400.0,2800.0,2600.0
,29/01/2020,AVERAGE,104,Quintal,2400.0,2800.0,2600.0
,30/01/2020,AVERAGE,74,Quintal,2400.0,2800.0,2600.0
,31/01/2020,AVERAGE,86,Quintal,2000.0,2600.0,2300.0
Sub Total,Sub Total,Sub Total,2071,,,,
C.R.PATNA,02/01/2020,AVERAGE,3,Quintal,3000.0,3000.0,3000.0
,09/01/2020,AVERAGE,4,Quintal,2500.0,2500.0,2500.0
Sub Total,Sub Total,Sub Total,7,,,,
CHICKBALLAPUR,01/01/2020,AVERAGE,4,Quintal,1800.0,2200.0,2000.0
,04/01/2020,AVERAGE,32,Quintal,1800.0,2400.0,2000.0
,05/01/2020,AVERAGE,58,Quintal,1800.0,2300.0,2000.0
,06/01/2020,AVERAGE,15,Quintal,1800.0,2300.0,2000.0
,07/01/2020,AVERAGE,58,Quintal,1800.0,2000.0,1850.0
,08/01/2020,AVERAGE,32,Quintal,1800.0,2000.0,1900.0
,10/01/2020,AVERAGE,61,Quintal,1500.0,1800.0,1600.0
,11/01/2020,AVERAGE,31,Quintal,1800.0,2300.0,2000.0
,12/01/2020,AVERAGE,60,Quintal,1800.0,2200.0,2000.0
,13/01/2020,AVERAGE,55,Quintal,1800.0,2000.0,1900.0
,14/01/2020,AVERAGE,25,Quintal,1800.0,2000.0,1900.0
,15/01/2020,AVERAGE,16,Quintal,1800.0,2000.0,1900.0
,17/01/2020,AVERAGE,3,Quintal,2000.0,3200.0,3000.0
,18/01/2020,AVERAGE,10,Quintal,2000.0,3000.0,2500.0
,19/01/2020,AVERAGE,60,Quintal,1500.0,2000.0,1800.0
,20/01/2020,AVERAGE,47,Quintal,1500.0,2000.0,1800.0
,21/01/2020,AVERAGE,57,Quintal,1500.0,1800.0,1700.0
,22/01/2020,AVERAGE,18,Quintal,1500.0,1900.0,1800.0
,24/01/2020,AVERAGE,46,Quintal,1500.0,2000.0,1600.0
,25/01/2020,AVERAGE,40,Quintal,1500.0,1800.0,1700.0
,26/01/2020,AVERAGE,45,Quintal,1600.0,2000.0,1800.0
,27/01/2020,AVERAGE,12,Quintal,1600.0,2000.0,1800.0
,28/01/2020,AVERAGE,55,Quintal,1700.0,2000.0,1800.0
,29/01/2020,AVERAGE,55,Quintal,1800.0,2000.0,1850.0
,31/01/2020,AVERAGE,31,Quintal,1800.0,2000.0,1850.0
Sub Total,Sub Total,Sub Total,926,,,,
DAVANAGERE,03/01/2020,AVERAGE,30,Quintal,2500.0,3000.0,2750.0
,10/01/2020,AVERAGE,30,Quintal,2500.0,3000.0,2750.0
,17/01/2020,AVERAGE,30,Quintal,2500.0,3000.0,2750.0
,24/01/2020,AVERAGE,30,Quintal,2500.0,3000.0,2750.0
,31/01/2020,AVERAGE,35,Quintal,2500.0,3000.0,2750.0
Sub Total,Sub Total,Sub Total,155,,,,
KOLAR,02/01/2020,AVERAGE,52,Quintal,2000.0,2500.0,2300.0
,03/01/2020,AVERAGE,60,Quintal,2000.0,2200.0,2100.0
,06/01/2020,AVERAGE,97,Quintal,2000.0,2200.0,2100.0
,07/01/2020,AVERAGE,79,Quintal,2000.0,2200.0,2100.0
,08/01/2020,AVERAGE,60,Quintal,1800.0,2000.0,1900.0
,09/01/2020,AVERAGE,55,Quintal,1800.0,2400.0,2000.0
,10/01/2020,AVERAGE,85,Quintal,1500.0,2000.0,1700.0
,12/01/2020,AVERAGE,37,Quintal,1500.0,2000.0,1700.0
,13/01/2020,AVERAGE,55,Quintal,1500.0,1800.0,1600.0
,14/01/2020,AVERAGE,65,Quintal,1200.0,1800.0,1400.0
,15/01/2020,AVERAGE,25,Quintal,1800.0,2000.0,1900.0
,17/01/2020,AVERAGE,30,Quintal,2000.0,2200.0,2100.0
,19/01/2020,AVERAGE,117,Quintal,2000.0,2200.0,2100.0
,20/01/2020,AVERAGE,56,Quintal,2000.0,2200.0,2100.0
,21/01/2020,AVERAGE,80,Quintal,1500.0,2000.0,1700.0
,22/01/2020,AVERAGE,79,Quintal,1500.0,2000.0,1700.0
,23/01/2020,AVERAGE,89,Quintal,1400.0,1600.0,1500.0
,24/01/2020,AVERAGE,45,Quintal,1000.0,1500.0,1300.0
,26/01/2020,AVERAGE,138,Quintal,1500.0,2000.0,1700.0
,27/01/2020,AVERAGE,65,Quintal,1500.0,2000.0,1700.0
,28/01/2020,AVERAGE,67,Quintal,2000.0,2200.0,2100.0
,29/01/2020,AVERAGE,78,Quintal,1500.0,2000.0,1800.0
,30/01/2020,AVERAGE,35,Quintal,1000.0,1500.0,1300.0
,31/01/2020,AVERAGE,55,Quintal,2000.0,2200.0,2100.0
Sub Total,Sub Total,Sub Total,1604,,,,
MALUR,10/01/2020,AVERAGE,33,Quintal,1300.0,1800.0,1515.0
,21/01/2020,AVERAGE,48,Quintal,1800.0,2200.0,1980.0
,22/01/2020,AVERAGE,3750,Quintal,600.0,900.0,800.0
,27/01/2020,AVERAGE,25,Quintal,1800.0,2200.0,2000.0
,31/01/2020,AVERAGE,330,Quintal,1500.0,2000.0,1800.0
Sub Total,Sub Total,Sub Total,4186,,,,
MYSURU,01/01/2020,AVERAGE,55,Quintal,2400.0,2600.0,2500.0
,02/01/2020,AVERAGE,65,Quintal,2400.0,2600.0,2500.0
,03/01/2020,AVERAGE,57,Quintal,2400.0,2600.0,2500.0
,05/01/2020,AVERAGE,63,Quintal,2400.0,2600.0,2500.0
,06/01/2020,AVERAGE,58,Quintal,2000.0,2600.0,2400.0
,07/01/2020,AVERAGE,15,Quintal,2400.0,2600.0,2500.0
,08/01/2020,AVERAGE,56,Quintal,2400.0,2600.0,2500.0
,09/01/2020,AVERAGE,61,Quintal,2200.0,2400.0,2300.0
,10/01/2020,AVERAGE,55,Quintal,2200.0,2400.0,2350.0
,12/01/2020,AVERAGE,63,Quintal,2000.0,2200.0,2100.0
,13/01/2020,AVERAGE,58,Quintal,2000.0,2200.0,2150.0
,14/01/2020,AVERAGE,68,Quintal,1800.0,2000.0,1950.0
,15/01/2020,AVERAGE,60,Quintal,1800.0,2000.0,1900.0
,16/01/2020,AVERAGE,64,Quintal,1800.0,2000.0,1950.0
,17/01/2020,AVERAGE,59,Quintal,1800.0,2000.0,1950.0
,19/01/2020,AVERAGE,67,Quintal,1800.0,2000.0,1950.0
,20/01/2020,AVERAGE,59,Quintal,1800.0,2000.0,1900.0
,23/01/2020,AVERAGE,70,Quintal,1600.0,1800.0,1750.0
,24/01/2020,AVERAGE,65,Quintal,1600.0,1800.0,1750.0
,26/01/2020,AVERAGE,74,Quintal,1600.0,1800.0,1750.0
,27/01/2020,AVERAGE,69,Quintal,1800.0,2000.0,1900.0
,28/01/2020,AVERAGE,70,Quintal,1800.0,2000.0,1900.0
