,Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
0,BANGARPET,01/01/2020,AVERAGE,3,Quintal,3000.0,4000.0,3500.0
1,BANGARPET,02/01/2020,AVERAGE,1,Quintal,2000.0,3000.0,2500.0
2,BANGARPET,03/01/2020,AVERAGE,1,Quintal,2800.0,3600.0,3000.0
3,BANGARPET,04/01/2020,AVERAGE,3,Quintal,3000.0,3800.0,3400.0
4,BANGARPET,06/01/2020,AVERAGE,6,Quintal,3000.0,3800.0,3400.0
5,BANGARPET,07/01/2020,AVERAGE,3,Quintal,3000.0,3800.0,3600.0
6,BANGARPET,08/01/2020,AVERAGE,2,Quintal,3800.0,4000.0,3900.0
7,BANGARPET,09/01/2020,AVERAGE,2,Quintal,3000.0,3500.0,3200.0
8,BANGARPET,10/01/2020,AVERAGE,2,Quintal,3000.0,3500.0,3200.0
9,BANGARPET,11/01/2020,AVERAGE,1,Quintal,2000.0,3500.0,2800.0
10,BANGARPET,13/01/2020,AVERAGE,4,Quintal,2000.0,3500.0,2800.0
11,BANGARPET,16/01/2020,AVERAGE,2,Quintal,4000.0,4500.0,4300.0
12,BANGARPET,17/01/2020,AVERAGE,3,Quintal,3000.0,3800.0,3200.0
13,BANGARPET,18/01/2020,AVERAGE,1,Quintal,2000.0,3000.0,2500.0
14,BANGARPET,20/01/2020,AVERAGE,4,Quintal,2500.0,3000.0,2800.0
15,BANGARPET,21/01/2020,AVERAGE,1,Quintal,3000.0,3500.0,3200.0
16,BANGARPET,22/01/2020,AVERAGE,1,Quintal,2000.0,3500.0,2500.0
17,BANGARPET,23/01/2020,AVERAGE,9,Quintal,2000.0,3500.0,2500.0
18,BANGARPET,24/01/2020,AVERAGE,1,Quintal,2200.0,3000.0,2800.0
19,BANGARPET,25/01/2020,AVERAGE,2,Quintal,2000.0,2500.0,2200.0
20,BANGARPET,27/01/2020,AVERAGE,6,Quintal,2000.0,3000.0,2500.0
21,BANGARPET,28/01/2020,AVERAGE,1,Quintal,2000.0,2500.0,2200.0
22,BANGARPET,31/01/2020,AVERAGE,1,Quintal,3000.0,3800.0,3200.0
23,BINNY MILL (F&V),01/01/2020,AVERAGE,391,Quintal,3000.0,4000.0,3500.0
24,BINNY MILL (F&V),02/01/2020,AVERAGE,368,Quintal,3000.0,4500.0,3500.0
25,BINNY MILL (F&V),03/01/2020,AVERAGE,259,Quintal,3000.0,5000.0,4000.0
26,BINNY MILL (F&V),04/01/2020,AVERAGE,379,Quintal,3000.0,5000.0,4000.0
27,BINNY MILL (F&V),06/01/2020,AVERAGE,619,Quintal,3000.0,5000.0,4000.0
28,BINNY MILL (F&V),07/01/2020,AVERAGE,449,Quintal,3000.0,5000.0,4000.0
29,BINNY MILL (F&V),08/01/2020,AVERAGE,340,Quintal,3000.0,4500.0,3500.0
30,BINNY MILL (F&V),09/01/2020,AVERAGE,126,Quintal,3000.0,4500.0,3500.0
