Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
BANGARPET,01/01/2020,AVERAGE,3,Quintal,3000.0,4000.0,3500.0
,02/01/2020,AVERAGE,1,Quintal,2000.0,3000.0,2500.0
,03/01/2020,AVERAGE,1,Quintal,2800.0,3600.0,3000.0
,04/01/2020,AVERAGE,3,Quintal,3000.0,3800.0,3400.0
,06/01/2020,AVERAGE,6,Quintal,3000.0,3800.0,3400.0
,07/01/2020,AVERAGE,3,Quintal,3000.0,3800.0,3600.0
,08/01/2020,AVERAGE,2,Quintal,3800.0,4000.0,3900.0
,09/01/2020,AVERAGE,2,Quintal,3000.0,3500.0,3200.0
,10/01/2020,AVERAGE,2,Quintal,3000.0,3500.0,3200.0
,11/01/2020,AVERAGE,1,Quintal,2000.0,3500.0,2800.0
,13/01/2020,AVERAGE,4,Quintal,2000.0,3500.0,2800.0
,16/01/2020,AVERAGE,2,Quintal,4000.0,4500.0,4300.0
,17/01/2020,AVERAGE,3,Quintal,3000.0,3800.0,3200.0
,18/01/2020,AVERAGE,1,Quintal,2000.0,3000.0,2500.0
,20/01/2020,AVERAGE,4,Quintal,2500.0,3000.0,2800.0
,21/01/2020,AVERAGE,1,Quintal,3000.0,3500.0,3200.0
,22/01/2020,AVERAGE,1,Quintal,2000.0,3500.0,2500.0
,23/01/2020,AVERAGE,9,Quintal,2000.0,3500.0,2500.0
,24/01/2020,AVERAGE,1,Quintal,2200.0,3000.0,2800.0
,25/01/2020,AVERAGE,2,Quintal,2000.0,2500.0,2200.0
,27/01/2020,AVERAGE,6,Quintal,2000.0,3000.0,2500.0
,28/01/2020,AVERAGE,1,Quintal,2000.0,2500.0,2200.0
,31/01/2020,AVERAGE,1,Quintal,3000.0,3800.0,3200.0
Sub Total,Sub Total,Sub Total,60,,,,
BINNY MILL (F&V),01/01/2020,AVERAGE,391,Quintal,3000.0,4000.0,3500.0
,02/01/2020,AVERAGE,368,Quintal,3000.0,4500.0,3500.0
,03/01/2020,AVERAGE,259,Quintal,3000.0,5000.0,4000.0
,04/01/2020,AVERAGE,379,Quintal,3000.0,5000.0,4000.0
,06/01/2020,AVERAGE,619,Quintal,3000.0,5000.0,4000.0
,07/01/2020,AVERAGE,449,Quintal,3000.0,5000.0,4000.0
,08/01/2020,AVERAGE,340,Quintal,3000.0,4500.0,3500.0
,09/01/2020,AVERAGE,126,Quintal,3000.0,4500.0,3500.0
,10/01/2020,AVERAGE,351,Quintal,3500.0,4500.0,4000.0
,13/01/2020,AVERAGE,564,Quintal,4000.0,6500.0,5000.0
,14/01/2020,AVERAGE,355,Quintal,4500.0,5500.0,5000.0
,16/01/2020,AVERAGE,418,Quintal,4000.0,6000.0,5000.0
,17/01/2020,AVERAGE,293,Quintal,4000.0,5500.0,4500.0
,18/01/2020,AVERAGE,426,Quintal,800.0,1200.0,1000.0
,20/01/2020,AVERAGE,269,Quintal,4500.0,6000.0,5000.0
