,Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
0,BANGARPET,02/01/2020,AVERAGE,2,Quintal,200.0,500.0,300.0
1,BANGARPET,03/01/2020,AVERAGE,6,Quintal,300.0,400.0,350.0
2,BANGARPET,04/01/2020,AVERAGE,5,Quintal,300.0,400.0,350.0
3,BANGARPET,06/01/2020,AVERAGE,3,Quintal,200.0,500.0,300.0
4,BANGARPET,07/01/2020,AVERAGE,1,Quintal,300.0,400.0,350.0
5,BANGARPET,08/01/2020,AVERAGE,1,Quintal,300.0,400.0,350.0
6,BANGARPET,09/01/2020,AVERAGE,9,Quintal,300.0,400.0,350.0
7,BANGARPET,10/01/2020,AVERAGE,1,Quintal,300.0,400.0,350.0
8,BANGARPET,17/01/2020,AVERAGE,11,Quintal,300.0,400.0,350.0
9,BANGARPET,20/01/2020,AVERAGE,28,Quintal,100.0,180.0,150.0
10,BANGARPET,22/01/2020,AVERAGE,8,Quintal,100.0,150.0,120.0
11,BANGARPET,23/01/2020,AVERAGE,3,Quintal,100.0,150.0,120.0
12,BANGARPET,24/01/2020,AVERAGE,5,Quintal,300.0,400.0,350.0
13,BANGARPET,25/01/2020,AVERAGE,18,Quintal,200.0,300.0,250.0
14,BANGARPET,27/01/2020,AVERAGE,13,Quintal,200.0,300.0,250.0
15,BANGARPET,28/01/2020,AVERAGE,2,Quintal,200.0,300.0,250.0
16,BANGARPET,30/01/2020,AVERAGE,3,Quintal,300.0,400.0,350.0
17,BANGARPET,31/01/2020,AVERAGE,2,Quintal,400.0,500.0,450.0
18,BINNY MILL (F&V),01/01/2020,AVERAGE,118,Quintal,800.0,1200.0,1000.0
19,BINNY MILL (F&V),02/01/2020,AVERAGE,271,Quintal,800.0,1200.0,1000.0
20,BINNY MILL (F&V),03/01/2020,AVERAGE,230,Quintal,800.0,1200.0,1000.0
21,BINNY MILL (F&V),04/01/2020,AVERAGE,113,Quintal,800.0,1200.0,1000.0
22,BINNY MILL (F&V),06/01/2020,AVERAGE,344,Quintal,1000.0,1400.0,1200.0
23,BINNY MILL (F&V),07/01/2020,AVERAGE,255,Quintal,800.0,1000.0,900.0
24,BINNY MILL (F&V),08/01/2020,AVERAGE,205,Quintal,800.0,1000.0,900.0
25,BINNY MILL (F&V),09/01/2020,AVERAGE,178,Quintal,2600.0,3000.0,2800.0
26,BINNY MILL (F&V),10/01/2020,AVERAGE,359,Quintal,800.0,1200.0,1000.0
27,BINNY MILL (F&V),13/01/2020,AVERAGE,229,Quintal,1200.0,1600.0,1400.0
28,BINNY MILL (F&V),14/01/2020,AVERAGE,143,Quintal,1200.0,1800.0,1500.0
29,BINNY MILL (F&V),16/01/2020,AVERAGE,247,Quintal,1000.0,1400.0,1200.0
30,BINNY MILL (F&V),17/01/2020,AVERAGE,134,Quintal,1000.0,1400.0,1200.0
31,BINNY MILL (F&V),18/01/2020,AVERAGE,238,Quintal,600.0,800.0,700.0
32,BINNY MILL (F&V),20/01/2020,AVERAGE,155,Quintal,600.0,800.0,700.0
33,BINNY MILL (F&V),21/01/2020,AVERAGE,98,Quintal,600.0,800.0,700.0
34,BINNY MILL (F&V),22/01/2020,AVERAGE,88,Quintal,600.0,800.0,700.0
35,BINNY MILL (F&V),23/01/2020,AVERAGE,181,Quintal,600.0,700.0,650.0
36,BINNY MILL (F&V),24/01/2020,AVERAGE,183,Quintal,200.0,400.0,300.0
37,BINNY MILL (F&V),27/01/2020,AVERAGE,161,Quintal,200.0,400.0,300.0
38,BINNY MILL (F&V),28/01/2020,AVERAGE,184,Quintal,300.0,400.0,350.0
39,BINNY MILL (F&V),29/01/2020,AVERAGE,178,Quintal,200.0,400.0,300.0
40,BINNY MILL (F&V),30/01/2020,AVERAGE,164,Quintal,800.0,1000.0,900.0
41,BINNY MILL (F&V),31/01/2020,AVERAGE,161,Quintal,800.0,1000.0,900.0
42,CHANNAPATNA,01/01/2020,AVERAGE,13,Quintal,300.0,600.0,500.0
43,CHANNAPATNA,02/01/2020,AVERAGE,11,Quintal,300.0,600.0,450.0
44,CHANNAPATNA,03/01/2020,AVERAGE,13,Quintal,300.0,600.0,500.0
45,CHANNAPATNA,06/01/2020,AVERAGE,10,Quintal,300.0,600.0,450.0
46,CHANNAPATNA,07/01/2020,AVERAGE,13,Quintal,300.0,550.0,450.0
47,CHANNAPATNA,08/01/2020,AVERAGE,16,Quintal,200.0,400.0,300.0
48,CHANNAPATNA,09/01/2020,AVERAGE,14,Quintal,200.0,400.0,300.0
49,CHANNAPATNA,10/01/2020,AVERAGE,16,Quintal,200.0,400.0,300.0
50,CHANNAPATNA,11/01/2020,AVERAGE,12,Quintal,200.0,400.0,300.0
51,CHANNAPATNA,13/01/2020,AVERAGE,13,Quintal,200.0,400.0,300.0
52,CHANNAPATNA,14/01/2020,AVERAGE,15,Quintal,200.0,400.0,300.0
53,CHANNAPATNA,16/01/2020,AVERAGE,6,Quintal,300.0,500.0,400.0
54,CHANNAPATNA,17/01/2020,AVERAGE,17,Quintal,200.0,360.0,300.0
55,CHANNAPATNA,18/01/2020,AVERAGE,18,Quintal,200.0,400.0,300.0
56,CHANNAPATNA,20/01/2020,AVERAGE,13,Quintal,200.0,400.0,300.0
57,CHANNAPATNA,21/01/2020,AVERAGE,16,Quintal,200.0,400.0,300.0
58,CHANNAPATNA,22/01/2020,AVERAGE,12,Quintal,200.0,400.0,300.0
59,CHANNAPATNA,23/01/2020,AVERAGE,10,Quintal,200.0,500.0,350.0
60,CHANNAPATNA,24/01/2020,AVERAGE,13,Quintal,200.0,400.0,300.0
61,CHANNAPATNA,25/01/2020,AVERAGE,14,Quintal,200.0,400.0,300.0
62,CHANNAPATNA,27/01/2020,AVERAGE,17,Quintal,200.0,400.0,300.0
63,CHANNAPATNA,28/01/2020,AVERAGE,15,Quintal,200.0,400.0,300.0
