Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
BANGARPET,02/01/2020,AVERAGE,2,Quintal,200.0,500.0,300.0
,03/01/2020,AVERAGE,6,Quintal,300.0,400.0,350.0
,04/01/2020,AVERAGE,5,Quintal,300.0,400.0,350.0
,06/01/2020,AVERAGE,3,Quintal,200.0,500.0,300.0
,07/01/2020,AVERAGE,1,Quintal,300.0,400.0,350.0
,08/01/2020,AVERAGE,1,Quintal,300.0,400.0,350.0
,09/01/2020,AVERAGE,9,Quintal,300.0,400.0,350.0
,10/01/2020,AVERAGE,1,Quintal,300.0,400.0,350.0
,17/01/2020,AVERAGE,11,Quintal,300.0,400.0,350.0
,20/01/2020,AVERAGE,28,Quintal,100.0,180.0,150.0
,22/01/2020,AVERAGE,8,Quintal,100.0,150.0,120.0
,23/01/2020,AVERAGE,3,Quintal,100.0,150.0,120.0
,24/01/2020,AVERAGE,5,Quintal,300.0,400.0,350.0
,25/01/2020,AVERAGE,18,Quintal,200.0,300.0,250.0
,27/01/2020,AVERAGE,13,Quintal,200.0,300.0,250.0
,28/01/2020,AVERAGE,2,Quintal,200.0,300.0,250.0
,30/01/2020,AVERAGE,3,Quintal,300.0,400.0,350.0
,31/01/2020,AVERAGE,2,Quintal,400.0,500.0,450.0
Sub Total,Sub Total,Sub Total,121,,,,
BINNY MILL (F&V),01/01/2020,AVERAGE,118,Quintal,800.0,1200.0,1000.0
,02/01/2020,AVERAGE,271,Quintal,800.0,1200.0,1000.0
,03/01/2020,AVERAGE,230,Quintal,800.0,1200.0,1000.0
,04/01/2020,AVERAGE,113,Quintal,800.0,1200.0,1000.0
,06/01/2020,AVERAGE,344,Quintal,1000.0,1400.0,1200.0
,07/01/2020,AVERAGE,255,Quintal,800.0,1000.0,900.0
,08/01/2020,AVERAGE,205,Quintal,800.0,1000.0,900.0
,09/01/2020,AVERAGE,178,Quintal,2600.0,3000.0,2800.0
,10/01/2020,AVERAGE,359,Quintal,800.0,1200.0,1000.0
,13/01/2020,AVERAGE,229,Quintal,1200.0,1600.0,1400.0
,14/01/2020,AVERAGE,143,Quintal,1200.0,1800.0,1500.0
,16/01/2020,AVERAGE,247,Quintal,1000.0,1400.0,1200.0
,17/01/2020,AVERAGE,134,Quintal,1000.0,1400.0,1200.0
,18/01/2020,AVERAGE,238,Quintal,600.0,800.0,700.0
,20/01/2020,AVERAGE,155,Quintal,600.0,800.0,700.0
,21/01/2020,AVERAGE,98,Quintal,600.0,800.0,700.0
,22/01/2020,AVERAGE,88,Quintal,600.0,800.0,700.0
,23/01/2020,AVERAGE,181,Quintal,600.0,700.0,650.0
,24/01/2020,AVERAGE,183,Quintal,200.0,400.0,300.0
,27/01/2020,AVERAGE,161,Quintal,200.0,400.0,300.0
,28/01/2020,AVERAGE,184,Quintal,300.0,400.0,350.0
,29/01/2020,AVERAGE,178,Quintal,200.0,400.0,300.0
,30/01/2020,AVERAGE,164,Quintal,800.0,1000.0,900.0
,31/01/2020,AVERAGE,161,Quintal,800.0,1000.0,900.0
Sub Total,Sub Total,Sub Total,4617,,,,
CHANNAPATNA,01/01/2020,AVERAGE,13,Quintal,300.0,600.0,500.0
,02/01/2020,AVERAGE,11,Quintal,300.0,600.0,450.0
,03/01/2020,AVERAGE,13,Quintal,300.0,600.0,500.0
,06/01/2020,AVERAGE,10,Quintal,300.0,600.0,450.0
,07/01/2020,AVERAGE,13,Quintal,300.0,550.0,450.0
,08/01/2020,AVERAGE,16,Quintal,200.0,400.0,300.0
,09/01/2020,AVERAGE,14,Quintal,200.0,400.0,300.0
,10/01/2020,AVERAGE,16,Quintal,200.0,400.0,300.0
,11/01/2020,AVERAGE,12,Quintal,200.0,400.0,300.0
,13/01/2020,AVERAGE,13,Quintal,200.0,400.0,300.0
,14/01/2020,AVERAGE,15,Quintal,200.0,400.0,300.0
,16/01/2020,AVERAGE,6,Quintal,300.0,500.0,400.0
,17/01/2020,AVERAGE,17,Quintal,200.0,360.0,300.0
,18/01/2020,AVERAGE,18,Quintal,200.0,400.0,300.0
,20/01/2020,AVERAGE,13,Quintal,200.0,400.0,300.0
,21/01/2020,AVERAGE,16,Quintal,200.0,400.0,300.0
,22/01/2020,AVERAGE,12,Quintal,200.0,400.0,300.0
,23/01/2020,AVERAGE,10,Quintal,200.0,500.0,350.0
,24/01/2020,AVERAGE,13,Quintal,200.0,400.0,300.0
,25/01/2020,AVERAGE,14,Quintal,200.0,400.0,300.0
,27/01/2020,AVERAGE,17,Quintal,200.0,400.0,300.0
,28/01/2020,AVERAGE,15,Quintal,200.0,400.0,300.0
,29/01/2020,AVERAGE,9,Quintal,300.0,500.0,400.0
,30/01/2020,AVERAGE,15,Quintal,300.0,600.0,500.0
,31/01/2020,AVERAGE,14,Quintal,300.0,500.0,400.0
Sub Total,Sub Total,Sub Total,335,,,,
CHICKBALLAPUR,01/01/2020,AVERAGE,65,Quintal,200.0,400.0,350.0
,04/01/2020,AVERAGE,302,Quintal,300.0,500.0,400.0
,05/01/2020,AVERAGE,314,Quintal,400.0,600.0,500.0
,06/01/2020,AVERAGE,322,Quintal,200.0,400.0,350.0
,07/01/2020,AVERAGE,661,Quintal,80.0,250.0,100.0
,08/01/2020,AVERAGE,279,Quintal,100.0,200.0,150.0
,10/01/2020,AVERAGE,626,Quintal,100.0,220.0,150.0
,11/01/2020,AVERAGE,365,Quintal,100.0,200.0,150.0
,12/01/2020,AVERAGE,252,Quintal,100.0,200.0,150.0
,13/01/2020,AVERAGE,265,Quintal,100.0,150.0,140.0
,14/01/2020,AVERAGE,430,Quintal,100.0,250.0,180.0
,15/01/2020,AVERAGE,254,Quintal,100.0,200.0,150.0
,17/01/2020,AVERAGE,410,Quintal,200.0,300.0,250.0
,18/01/2020,AVERAGE,265,Quintal,200.0,300.0,250.0
,19/01/2020,AVERAGE,260,Quintal,200.0,400.0,300.0
,20/01/2020,AVERAGE,330,Quintal,200.0,400.0,300.0
,21/01/2020,AVERAGE,354,Quintal,400.0,500.0,450.0
,22/01/2020,AVERAGE,300,Quintal,100.0,150.0,145.0
,24/01/2020,AVERAGE,311,Quintal,100.0,300.0,250.0
,25/01/2020,AVERAGE,212,Quintal,100.0,200.0,150.0
,26/01/2020,AVERAGE,167,Quintal,200.0,300.0,250.0
,27/01/2020,AVERAGE,210,Quintal,600.0,800.0,700.0
,28/01/2020,AVERAGE,246,Quintal,300.0,600.0,500.0
,29/01/2020,AVERAGE,301,Quintal,300.0,400.0,350.0
,31/01/2020,AVERAGE,450,Quintal,200.0,300.0,250.0
Sub Total,Sub Total,Sub Total,7951,,,,
CHIKKAMAGALURU,03/01/2020,AVERAGE,25,Quintal,1000.0,1500.0,1400.0
,04/01/2020,AVERAGE,46,Quintal,1087.0,1087.0,1087.0
,06/01/2020,AVERAGE,60,Quintal,1000.0,1000.0,1000.0
,07/01/2020,AVERAGE,18,Quintal,1111.0,1111.0,1111.0
,08/01/2020,AVERAGE,20,Quintal,1000.0,1000.0,1000.0
,10/01/2020,AVERAGE,64,Quintal,909.0,1000.0,938.0
,13/01/2020,AVERAGE,108,Quintal,833.0,1000.0,926.0
,17/01/2020,AVERAGE,30,Quintal,1000.0,1000.0,1000.0
,20/01/2020,AVERAGE,41,Quintal,968.0,1000.0,976.0
,21/01/2020,AVERAGE,11,Quintal,909.0,909.0,909.0
,22/01/2020,AVERAGE,50,Quintal,1000.0,1000.0,1000.0
,24/01/2020,AVERAGE,30,Quintal,1000.0,1000.0,1000.0
,27/01/2020,AVERAGE,60,Quintal,733.0,933.0,833.0
,31/01/2020,AVERAGE,30,Quintal,1000.0,1000.0,1000.0
Sub Total,Sub Total,Sub Total,593,,,,
DAVANAGERE,03/01/2020,AVERAGE,45,Quintal,1200.0,1500.0,1350.0
,10/01/2020,AVERAGE,45,Quintal,1200.0,1500.0,1350.0
,17/01/2020,AVERAGE,45,Quintal,1200.0,1500.0,1350.0
,24/01/2020,AVERAGE,70,Quintal,1000.0,1200.0,1100.0
,31/01/2020,AVERAGE,90,Quintal,1000.0,1500.0,1250.0
Sub Total,Sub Total,Sub Total,295,,,,
DODDABALLAPUR,01/01/2020,AVERAGE,9,Quintal,600.0,800.0,700.0
,02/01/2020,AVERAGE,9,Quintal,600.0,800.0,700.0
,03/01/2020,AVERAGE,9,Quintal,600.0,800.0,700.0
,04/01/2020,AVERAGE,12,Quintal,500.0,700.0,600.0
,06/01/2020,AVERAGE,12,Quintal,400.0,600.0,500.0
,07/01/2020,AVERAGE,9,Quintal,400.0,600.0,500.0
,08/01/2020,AVERAGE,9,Quintal,400.0,600.0,500.0
,09/01/2020,AVERAGE,12,Quintal,400.0,600.0,500.0
,10/01/2020,AVERAGE,9,Quintal,400.0,600.0,500.0
,13/01/2020,AVERAGE,9,Quintal,500.0,700.0,600.0
,14/01/2020,AVERAGE,12,Quintal,500.0,600.0,550.0
,16/01/2020,AVERAGE,12,Quintal,500.0,700.0,600.0
,17/01/2020,AVERAGE,9,Quintal,600.0,800.0,700.0
,18/01/2020,AVERAGE,9,Quintal,600.0,800.0,700.0
,20/01/2020,AVERAGE,12,Quintal,400.0,600.0,500.0
,21/01/2020,AVERAGE,9,Quintal,400.0,800.0,600.0
,22/01/2020,AVERAGE,9,Quintal,400.0,700.0,550.0
,23/01/2020,AVERAGE,9,Quintal,400.0,600.0,500.0
,24/01/2020,AVERAGE,9,Quintal,400.0,600.0,500.0
,27/01/2020,AVERAGE,9,Quintal,400.0,600.0,500.0
,28/01/2020,AVERAGE,12,Quintal,400.0,700.0,550.0
,29/01/2020,AVERAGE,9,Quintal,400.0,600.0,500.0
,30/01/2020,AVERAGE,9,Quintal,400.0,600.0,500.0
,31/01/2020,AVERAGE,14,Quintal,400.0,600.0,500.0
Sub Total,Sub Total,Sub Total,242,,,,
GOWRIBIDNUR,03/01/2020,AVERAGE,50,Quintal,400.0,500.0,450.0
,23/01/2020,AVERAGE,42,Quintal,500.0,600.0,550.0
