,Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
0,BANGARPET,01/01/2020,AVERAGE,2,Quintal,1000.0,1400.0,1200.0
1,BANGARPET,03/01/2020,AVERAGE,1,Quintal,1000.0,1500.0,1200.0
2,BANGARPET,04/01/2020,AVERAGE,3,Quintal,800.0,1000.0,900.0
3,BANGARPET,06/01/2020,AVERAGE,1,Quintal,1000.0,1500.0,1300.0
4,BANGARPET,08/01/2020,AVERAGE,1,Quintal,1200.0,1400.0,1300.0
5,BANGARPET,09/01/2020,AVERAGE,1,Quintal,1200.0,1400.0,1300.0
6,BANGARPET,10/01/2020,AVERAGE,1,Quintal,1200.0,1400.0,1300.0
7,BANGARPET,13/01/2020,AVERAGE,1,Quintal,1000.0,1500.0,1200.0
8,BANGARPET,20/01/2020,AVERAGE,2,Quintal,1500.0,2000.0,1800.0
9,BANGARPET,21/01/2020,AVERAGE,3,Quintal,1500.0,1800.0,1600.0
10,BANGARPET,23/01/2020,AVERAGE,2,Quintal,1500.0,1800.0,1600.0
11,BANGARPET,27/01/2020,AVERAGE,1,Quintal,800.0,1300.0,1200.0
12,BANGARPET,29/01/2020,AVERAGE,3,Quintal,1200.0,1800.0,1500.0
13,BANGARPET,30/01/2020,AVERAGE,3,Quintal,1200.0,1800.0,1600.0
14,BANGARPET,31/01/2020,AVERAGE,2,Quintal,1000.0,1500.0,1300.0
15,BINNY MILL (F&V),01/01/2020,AVERAGE,222,Quintal,2000.0,3000.0,2500.0
16,BINNY MILL (F&V),02/01/2020,AVERAGE,225,Quintal,2200.0,2800.0,2600.0
17,BINNY MILL (F&V),03/01/2020,AVERAGE,117,Quintal,2400.0,3000.0,2800.0
18,BINNY MILL (F&V),04/01/2020,AVERAGE,215,Quintal,2500.0,3000.0,2800.0
19,BINNY MILL (F&V),06/01/2020,AVERAGE,342,Quintal,2000.0,2600.0,2300.0
20,BINNY MILL (F&V),07/01/2020,AVERAGE,217,Quintal,2000.0,2600.0,2300.0
21,BINNY MILL (F&V),08/01/2020,AVERAGE,183,Quintal,2200.0,2600.0,2400.0
22,BINNY MILL (F&V),09/01/2020,AVERAGE,208,Quintal,2600.0,2800.0,2700.0
23,BINNY MILL (F&V),10/01/2020,AVERAGE,208,Quintal,1800.0,2200.0,2000.0
24,BINNY MILL (F&V),13/01/2020,AVERAGE,303,Quintal,2000.0,2800.0,2400.0
25,BINNY MILL (F&V),14/01/2020,AVERAGE,212,Quintal,2500.0,3200.0,2800.0
26,BINNY MILL (F&V),16/01/2020,AVERAGE,331,Quintal,2600.0,3400.0,3000.0
27,BINNY MILL (F&V),17/01/2020,AVERAGE,112,Quintal,2000.0,2500.0,2300.0
28,BINNY MILL (F&V),18/01/2020,AVERAGE,191,Quintal,2000.0,2600.0,2300.0
29,BINNY MILL (F&V),20/01/2020,AVERAGE,214,Quintal,2000.0,2500.0,2300.0
30,BINNY MILL (F&V),21/01/2020,AVERAGE,146,Quintal,1600.0,2000.0,1800.0
31,BINNY MILL (F&V),22/01/2020,AVERAGE,213,Quintal,1400.0,2000.0,1600.0
32,BINNY MILL (F&V),23/01/2020,AVERAGE,240,Quintal,1400.0,2000.0,1800.0
33,BINNY MILL (F&V),24/01/2020,AVERAGE,246,Quintal,1400.0,2000.0,1800.0
34,BINNY MILL (F&V),27/01/2020,AVERAGE,342,Quintal,2000.0,2800.0,2400.0
35,BINNY MILL (F&V),28/01/2020,AVERAGE,230,Quintal,2200.0,2800.0,2500.0
36,BINNY MILL (F&V),29/01/2020,AVERAGE,243,Quintal,1400.0,2000.0,1800.0
37,BINNY MILL (F&V),30/01/2020,AVERAGE,255,Quintal,2200.0,2800.0,2500.0
38,BINNY MILL (F&V),31/01/2020,AVERAGE,210,Quintal,2200.0,2800.0,2500.0
39,C.R.NAGAR,02/01/2020,AVERAGE,1,Quintal,1500.0,2300.0,2100.0
40,C.R.NAGAR,03/01/2020,AVERAGE,1,Quintal,1200.0,1800.0,1600.0
41,C.R.NAGAR,04/01/2020,AVERAGE,1,Quintal,1500.0,2300.0,2000.0
42,C.R.NAGAR,06/01/2020,AVERAGE,1,Quintal,1000.0,1800.0,1500.0
