,Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
0,BANGARPET,01/01/2020,AVERAGE,3,Quintal,600.0,800.0,700.0
1,BANGARPET,03/01/2020,AVERAGE,2,Quintal,300.0,400.0,350.0
2,BANGARPET,04/01/2020,AVERAGE,3,Quintal,400.0,500.0,450.0
3,BANGARPET,06/01/2020,AVERAGE,8,Quintal,400.0,500.0,450.0
4,BANGARPET,07/01/2020,AVERAGE,2,Quintal,350.0,450.0,380.0
5,BANGARPET,08/01/2020,AVERAGE,7,Quintal,800.0,1000.0,900.0
6,BANGARPET,09/01/2020,AVERAGE,3,Quintal,500.0,800.0,600.0
7,BANGARPET,10/01/2020,AVERAGE,1,Quintal,500.0,800.0,600.0
8,BANGARPET,11/01/2020,AVERAGE,6,Quintal,200.0,300.0,250.0
9,BANGARPET,13/01/2020,AVERAGE,13,Quintal,200.0,300.0,250.0
10,BANGARPET,14/01/2020,AVERAGE,3,Quintal,200.0,300.0,250.0
11,BANGARPET,15/01/2020,AVERAGE,3,Quintal,200.0,300.0,250.0
12,BANGARPET,16/01/2020,AVERAGE,4,Quintal,250.0,350.0,300.0
13,BANGARPET,17/01/2020,AVERAGE,2,Quintal,200.0,350.0,250.0
14,BANGARPET,18/01/2020,AVERAGE,5,Quintal,200.0,280.0,250.0
15,BANGARPET,20/01/2020,AVERAGE,6,Quintal,200.0,300.0,250.0
16,BANGARPET,21/01/2020,AVERAGE,3,Quintal,200.0,300.0,250.0
17,BANGARPET,23/01/2020,AVERAGE,2,Quintal,200.0,350.0,250.0
18,BANGARPET,25/01/2020,AVERAGE,1,Quintal,200.0,300.0,250.0
19,BANGARPET,27/01/2020,AVERAGE,1,Quintal,200.0,350.0,280.0
20,BANGARPET,28/01/2020,AVERAGE,2,Quintal,200.0,350.0,280.0
21,BANGARPET,29/01/2020,AVERAGE,3,Quintal,300.0,400.0,350.0
22,BANGARPET,30/01/2020,AVERAGE,1,Quintal,300.0,400.0,350.0
23,BINNY MILL (F&V),01/01/2020,AVERAGE,130,Quintal,1400.0,1600.0,1500.0
24,BINNY MILL (F&V),02/01/2020,AVERAGE,164,Quintal,1400.0,1600.0,1500.0
25,BINNY MILL (F&V),03/01/2020,AVERAGE,87,Quintal,1400.0,1600.0,1500.0
26,BINNY MILL (F&V),04/01/2020,AVERAGE,104,Quintal,1400.0,1600.0,1500.0
27,BINNY MILL (F&V),06/01/2020,AVERAGE,136,Quintal,1300.0,1600.0,1400.0
28,BINNY MILL (F&V),07/01/2020,AVERAGE,152,Quintal,1400.0,1600.0,1500.0
29,BINNY MILL (F&V),08/01/2020,AVERAGE,70,Quintal,1400.0,1600.0,1500.0
30,BINNY MILL (F&V),09/01/2020,AVERAGE,99,Quintal,1400.0,1800.0,1600.0
31,BINNY MILL (F&V),10/01/2020,AVERAGE,181,Quintal,1400.0,1800.0,1600.0
32,BINNY MILL (F&V),13/01/2020,AVERAGE,186,Quintal,1400.0,2000.0,1800.0
33,BINNY MILL (F&V),14/01/2020,AVERAGE,103,Quintal,1400.0,2000.0,1800.0
34,BINNY MILL (F&V),16/01/2020,AVERAGE,155,Quintal,1200.0,1600.0,1400.0
35,BINNY MILL (F&V),17/01/2020,AVERAGE,71,Quintal,1400.0,1600.0,1500.0
36,BINNY MILL (F&V),18/01/2020,AVERAGE,146,Quintal,1400.0,1800.0,1600.0
37,BINNY MILL (F&V),20/01/2020,AVERAGE,154,Quintal,1400.0,1800.0,1600.0
38,BINNY MILL (F&V),21/01/2020,AVERAGE,101,Quintal,1400.0,1800.0,1600.0
39,BINNY MILL (F&V),22/01/2020,AVERAGE,91,Quintal,1400.0,1800.0,1600.0
40,BINNY MILL (F&V),23/01/2020,AVERAGE,150,Quintal,1400.0,1600.0,1500.0
41,BINNY MILL (F&V),24/01/2020,AVERAGE,143,Quintal,1400.0,1600.0,1500.0
42,BINNY MILL (F&V),27/01/2020,AVERAGE,116,Quintal,1400.0,1600.0,1500.0
43,BINNY MILL (F&V),28/01/2020,AVERAGE,144,Quintal,1400.0,1600.0,1500.0
44,BINNY MILL (F&V),29/01/2020,AVERAGE,143,Quintal,1400.0,1600.0,1500.0
45,BINNY MILL (F&V),30/01/2020,AVERAGE,121,Quintal,1400.0,1800.0,1600.0
46,BINNY MILL (F&V),31/01/2020,AVERAGE,145,Quintal,1400.0,1800.0,1600.0
47,C.R.NAGAR,02/01/2020,AVERAGE,1,Quintal,400.0,1000.0,900.0
48,C.R.NAGAR,03/01/2020,AVERAGE,1,Quintal,400.0,600.0,500.0
49,C.R.NAGAR,04/01/2020,AVERAGE,1,Quintal,100.0,300.0,200.0
50,C.R.NAGAR,06/01/2020,AVERAGE,1,Quintal,500.0,700.0,600.0
51,C.R.NAGAR,07/01/2020,AVERAGE,1,Quintal,500.0,500.0,500.0
52,C.R.NAGAR,08/01/2020,AVERAGE,1,Quintal,300.0,600.0,500.0
53,C.R.NAGAR,09/01/2020,AVERAGE,1,Quintal,100.0,300.0,200.0
54,C.R.NAGAR,11/01/2020,AVERAGE,1,Quintal,200.0,400.0,300.0
55,C.R.NAGAR,14/01/2020,AVERAGE,1,Quintal,1000.0,2000.0,1800.0
