Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
BANGARPET,01/01/2020,AVERAGE,3,Quintal,600.0,800.0,700.0
,03/01/2020,AVERAGE,2,Quintal,300.0,400.0,350.0
,04/01/2020,AVERAGE,3,Quintal,400.0,500.0,450.0
,06/01/2020,AVERAGE,8,Quintal,400.0,500.0,450.0
,07/01/2020,AVERAGE,2,Quintal,350.0,450.0,380.0
,08/01/2020,AVERAGE,7,Quintal,800.0,1000.0,900.0
,09/01/2020,AVERAGE,3,Quintal,500.0,800.0,600.0
,10/01/2020,AVERAGE,1,Quintal,500.0,800.0,600.0
,11/01/2020,AVERAGE,6,Quintal,200.0,300.0,250.0
,13/01/2020,AVERAGE,13,Quintal,200.0,300.0,250.0
,14/01/2020,AVERAGE,3,Quintal,200.0,300.0,250.0
,15/01/2020,AVERAGE,3,Quintal,200.0,300.0,250.0
,16/01/2020,AVERAGE,4,Quintal,250.0,350.0,300.0
,17/01/2020,AVERAGE,2,Quintal,200.0,350.0,250.0
,18/01/2020,AVERAGE,5,Quintal,200.0,280.0,250.0
,20/01/2020,AVERAGE,6,Quintal,200.0,300.0,250.0
,21/01/2020,AVERAGE,3,Quintal,200.0,300.0,250.0
,23/01/2020,AVERAGE,2,Quintal,200.0,350.0,250.0
,25/01/2020,AVERAGE,1,Quintal,200.0,300.0,250.0
,27/01/2020,AVERAGE,1,Quintal,200.0,350.0,280.0
,28/01/2020,AVERAGE,2,Quintal,200.0,350.0,280.0
,29/01/2020,AVERAGE,3,Quintal,300.0,400.0,350.0
,30/01/2020,AVERAGE,1,Quintal,300.0,400.0,350.0
Sub Total,Sub Total,Sub Total,84,,,,
BINNY MILL (F&V),01/01/2020,AVERAGE,130,Quintal,1400.0,1600.0,1500.0
,02/01/2020,AVERAGE,164,Quintal,1400.0,1600.0,1500.0
,03/01/2020,AVERAGE,87,Quintal,1400.0,1600.0,1500.0
,04/01/2020,AVERAGE,104,Quintal,1400.0,1600.0,1500.0
,06/01/2020,AVERAGE,136,Quintal,1300.0,1600.0,1400.0
,07/01/2020,AVERAGE,152,Quintal,1400.0,1600.0,1500.0
,08/01/2020,AVERAGE,70,Quintal,1400.0,1600.0,1500.0
,09/01/2020,AVERAGE,99,Quintal,1400.0,1800.0,1600.0
,10/01/2020,AVERAGE,181,Quintal,1400.0,1800.0,1600.0
,13/01/2020,AVERAGE,186,Quintal,1400.0,2000.0,1800.0
,14/01/2020,AVERAGE,103,Quintal,1400.0,2000.0,1800.0
