,Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
0,BANGARPET,01/01/2020,AVERAGE,13,Quintal,250.0,950.0,650.0
1,BANGARPET,02/01/2020,AVERAGE,18,Quintal,250.0,1350.0,750.0
2,BANGARPET,03/01/2020,AVERAGE,8,Quintal,250.0,1350.0,750.0
3,BANGARPET,04/01/2020,AVERAGE,15,Quintal,300.0,1100.0,800.0
4,BANGARPET,06/01/2020,AVERAGE,1,Quintal,250.0,1350.0,750.0
5,BANGARPET,07/01/2020,AVERAGE,2,Quintal,250.0,980.0,780.0
6,BANGARPET,08/01/2020,AVERAGE,5,Quintal,250.0,980.0,780.0
7,BANGARPET,09/01/2020,AVERAGE,5,Quintal,280.0,1200.0,860.0
8,BANGARPET,10/01/2020,AVERAGE,21,Quintal,280.0,1200.0,860.0
9,BANGARPET,11/01/2020,AVERAGE,19,Quintal,200.0,1250.0,750.0
10,BANGARPET,13/01/2020,AVERAGE,38,Quintal,250.0,1650.0,750.0
11,BANGARPET,14/01/2020,AVERAGE,12,Quintal,250.0,1650.0,750.0
12,BANGARPET,15/01/2020,AVERAGE,11,Quintal,200.0,1250.0,750.0
13,BANGARPET,16/01/2020,AVERAGE,7,Quintal,200.0,1250.0,750.0
14,BANGARPET,17/01/2020,AVERAGE,13,Quintal,280.0,1650.0,750.0
15,BANGARPET,18/01/2020,AVERAGE,11,Quintal,290.0,1750.0,920.0
16,BANGARPET,20/01/2020,AVERAGE,28,Quintal,250.0,1250.0,750.0
17,BANGARPET,21/01/2020,AVERAGE,4,Quintal,250.0,1150.0,650.0
18,BANGARPET,22/01/2020,AVERAGE,25,Quintal,250.0,950.0,650.0
19,BANGARPET,23/01/2020,AVERAGE,30,Quintal,250.0,950.0,650.0
20,BANGARPET,24/01/2020,AVERAGE,49,Quintal,280.0,1100.0,650.0
21,BANGARPET,25/01/2020,AVERAGE,18,Quintal,250.0,950.0,620.0
22,BANGARPET,27/01/2020,AVERAGE,18,Quintal,220.0,950.0,600.0
23,BANGARPET,28/01/2020,AVERAGE,5,Quintal,200.0,920.0,650.0
24,BANGARPET,30/01/2020,AVERAGE,4,Quintal,220.0,950.0,600.0
25,BINNY MILL (F&V),01/01/2020,AVERAGE,370,Quintal,1400.0,1800.0,1600.0
26,BINNY MILL (F&V),02/01/2020,AVERAGE,390,Quintal,1400.0,1800.0,1600.0
27,BINNY MILL (F&V),03/01/2020,AVERAGE,380,Quintal,1400.0,2000.0,1800.0
28,BINNY MILL (F&V),04/01/2020,AVERAGE,400,Quintal,1400.0,1800.0,1600.0
29,BINNY MILL (F&V),06/01/2020,AVERAGE,347,Quintal,1400.0,2000.0,1800.0
30,BINNY MILL (F&V),07/01/2020,AVERAGE,430,Quintal,1400.0,2000.0,1700.0
31,BINNY MILL (F&V),08/01/2020,AVERAGE,347,Quintal,1400.0,1800.0,1600.0
32,BINNY MILL (F&V),09/01/2020,AVERAGE,388,Quintal,1200.0,1600.0,1400.0
33,BINNY MILL (F&V),10/01/2020,AVERAGE,478,Quintal,1600.0,2200.0,2000.0
34,BINNY MILL (F&V),13/01/2020,AVERAGE,528,Quintal,1800.0,2500.0,2300.0
35,BINNY MILL (F&V),14/01/2020,AVERAGE,337,Quintal,1600.0,2000.0,1800.0
36,BINNY MILL (F&V),16/01/2020,AVERAGE,434,Quintal,1400.0,1800.0,1600.0
37,BINNY MILL (F&V),17/01/2020,AVERAGE,272,Quintal,1200.0,1800.0,1500.0
38,BINNY MILL (F&V),18/01/2020,AVERAGE,350,Quintal,1200.0,1800.0,1500.0
39,BINNY MILL (F&V),20/01/2020,AVERAGE,420,Quintal,1400.0,2000.0,1800.0
40,BINNY MILL (F&V),21/01/2020,AVERAGE,390,Quintal,1400.0,1800.0,1600.0
41,BINNY MILL (F&V),22/01/2020,AVERAGE,413,Quintal,1200.0,1600.0,1400.0
42,BINNY MILL (F&V),23/01/2020,AVERAGE,384,Quintal,1400.0,1600.0,1500.0
43,BINNY MILL (F&V),24/01/2020,AVERAGE,436,Quintal,1200.0,1400.0,1300.0
44,BINNY MILL (F&V),27/01/2020,AVERAGE,619,Quintal,1000.0,1500.0,1300.0
45,BINNY MILL (F&V),28/01/2020,AVERAGE,400,Quintal,1200.0,1500.0,1400.0
46,BINNY MILL (F&V),29/01/2020,AVERAGE,456,Quintal,1200.0,1400.0,1300.0
47,BINNY MILL (F&V),30/01/2020,AVERAGE,446,Quintal,1200.0,1600.0,1400.0
48,BINNY MILL (F&V),31/01/2020,AVERAGE,342,Quintal,1200.0,1500.0,1300.0
49,C.R.NAGAR,03/01/2020,AVERAGE,1,Quintal,400.0,1200.0,1000.0
50,C.R.NAGAR,04/01/2020,AVERAGE,1,Quintal,400.0,1200.0,1000.0
51,C.R.NAGAR,06/01/2020,AVERAGE,1,Quintal,1000.0,1500.0,1200.0
52,C.R.NAGAR,07/01/2020,AVERAGE,1,Quintal,800.0,1000.0,900.0
53,C.R.NAGAR,08/01/2020,AVERAGE,1,Quintal,400.0,1100.0,1000.0
54,C.R.NAGAR,09/01/2020,AVERAGE,1,Quintal,400.0,800.0,600.0
55,C.R.NAGAR,10/01/2020,AVERAGE,1,Quintal,800.0,1200.0,1000.0
56,C.R.NAGAR,11/01/2020,AVERAGE,1,Quintal,800.0,1200.0,1000.0
57,C.R.NAGAR,14/01/2020,AVERAGE,1,Quintal,800.0,1000.0,900.0
58,C.R.NAGAR,18/01/2020,AVERAGE,1,Quintal,200.0,800.0,700.0
59,C.R.NAGAR,24/01/2020,AVERAGE,1,Quintal,800.0,1200.0,1000.0
60,C.R.NAGAR,25/01/2020,AVERAGE,1,Quintal,400.0,1100.0,900.0
61,C.R.NAGAR,28/01/2020,AVERAGE,1,Quintal,800.0,1200.0,1000.0
62,C.R.NAGAR,29/01/2020,AVERAGE,1,Quintal,1000.0,1500.0,1300.0
63,C.R.NAGAR,30/01/2020,AVERAGE,1,Quintal,200.0,800.0,500.0
64,C.R.NAGAR,31/01/2020,AVERAGE,1,Quintal,600.0,800.0,700.0
65,CHANNAPATNA,01/01/2020,AVERAGE,36,Quintal,700.0,1500.0,1000.0
66,CHANNAPATNA,02/01/2020,AVERAGE,28,Quintal,650.0,1250.0,1000.0
67,CHANNAPATNA,03/01/2020,AVERAGE,26,Quintal,650.0,1400.0,1000.0
68,CHANNAPATNA,04/01/2020,AVERAGE,24,Quintal,600.0,1250.0,1000.0
69,CHANNAPATNA,06/01/2020,AVERAGE,23,Quintal,650.0,1400.0,1000.0
70,CHANNAPATNA,07/01/2020,AVERAGE,31,Quintal,550.0,1400.0,1100.0
71,CHANNAPATNA,08/01/2020,AVERAGE,27,Quintal,500.0,1400.0,1000.0
72,CHANNAPATNA,09/01/2020,AVERAGE,32,Quintal,500.0,1400.0,1100.0
73,CHANNAPATNA,10/01/2020,AVERAGE,30,Quintal,500.0,1400.0,1200.0
