Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
BANGARPET,21/01/2019,AVERAGE,2,Quintal,1600.0,2000.0,1800.0
,22/01/2019,AVERAGE,1,Quintal,2000.0,3000.0,2500.0
,24/01/2019,AVERAGE,2,Quintal,2000.0,2800.0,2500.0
,25/01/2019,AVERAGE,1,Quintal,2000.0,2800.0,2500.0
Sub Total,Sub Total,Sub Total,6,,,,
BINNY MILL (F&V),01/01/2019,AVERAGE,92,Quintal,1600.0,2200.0,1800.0
,02/01/2019,AVERAGE,61,Quintal,1600.0,2200.0,1800.0
,03/01/2019,AVERAGE,66,Quintal,1800.0,2400.0,2000.0
,04/01/2019,AVERAGE,65,Quintal,1800.0,2400.0,2000.0
,05/01/2019,AVERAGE,93,Quintal,1800.0,2200.0,2000.0
,07/01/2019,AVERAGE,66,Quintal,2200.0,2800.0,2400.0
,08/01/2019,AVERAGE,51,Quintal,2400.0,2800.0,2600.0
,09/01/2019,AVERAGE,48,Quintal,2400.0,2800.0,2600.0
,10/01/2019,AVERAGE,61,Quintal,2300.0,2600.0,2500.0
,14/01/2019,AVERAGE,92,Quintal,2400.0,3000.0,2800.0
,16/01/2019,AVERAGE,63,Quintal,2400.0,2800.0,2600.0
,17/01/2019,AVERAGE,64,Quintal,2400.0,2800.0,2600.0
,18/01/2019,AVERAGE,77,Quintal,2400.0,2800.0,2600.0
,19/01/2019,AVERAGE,63,Quintal,2400.0,2800.0,2600.0
,21/01/2019,AVERAGE,88,Quintal,2200.0,2600.0,2400.0
,23/01/2019,AVERAGE,79,Quintal,2200.0,2600.0,2400.0
,24/01/2019,AVERAGE,82,Quintal,2800.0,3400.0,3200.0
,25/01/2019,AVERAGE,83,Quintal,3000.0,3800.0,3400.0
,28/01/2019,AVERAGE,33,Quintal,2800.0,3600.0,3200.0
,29/01/2019,AVERAGE,83,Quintal,2600.0,3500.0,3000.0
,30/01/2019,AVERAGE,71,Quintal,2800.0,3400.0,3000.0
,31/01/2019,AVERAGE,61,Quintal,2400.0,3000.0,2800.0
Sub Total,Sub Total,Sub Total,1542,,,,
CHICKBALLAPUR,01/01/2019,AVERAGE,10,Quintal,2000.0,2400.0,2200.0
,02/01/2019,AVERAGE,29,Quintal,2000.0,2500.0,2250.0
,03/01/2019,AVERAGE,47,Quintal,1800.0,2300.0,2000.0
,04/01/2019,AVERAGE,24,Quintal,2000.0,3000.0,2500.0
,05/01/2019,AVERAGE,16,Quintal,2500.0,3000.0,2750.0
,06/01/2019,AVERAGE,34,Quintal,2000.0,3000.0,2250.0
,07/01/2019,AVERAGE,19,Quintal,2500.0,3500.0,3000.0
,08/01/2019,AVERAGE,28,Quintal,3000.0,3500.0,3250.0
,09/01/2019,AVERAGE,13,Quintal,2500.0,3000.0,2750.0
