,Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
0,BANGARPET,02/01/2019,AVERAGE,4,Quintal,1200.0,1500.0,1300.0
1,BANGARPET,03/01/2019,AVERAGE,7,Quintal,1500.0,2000.0,1800.0
2,BANGARPET,04/01/2019,AVERAGE,1,Quintal,800.0,1200.0,1000.0
3,BANGARPET,05/01/2019,AVERAGE,3,Quintal,1000.0,1500.0,1200.0
4,BANGARPET,07/01/2019,AVERAGE,9,Quintal,900.0,1400.0,1100.0
5,BANGARPET,08/01/2019,AVERAGE,5,Quintal,1200.0,1500.0,1300.0
6,BANGARPET,09/01/2019,AVERAGE,7,Quintal,1000.0,1200.0,1100.0
7,BANGARPET,10/01/2019,AVERAGE,3,Quintal,1000.0,1500.0,1200.0
8,BANGARPET,11/01/2019,AVERAGE,4,Quintal,1200.0,1500.0,1300.0
9,BANGARPET,12/01/2019,AVERAGE,5,Quintal,1200.0,1500.0,1300.0
10,BANGARPET,14/01/2019,AVERAGE,7,Quintal,1000.0,1200.0,1100.0
11,BANGARPET,15/01/2019,AVERAGE,5,Quintal,1200.0,1800.0,1500.0
12,BANGARPET,16/01/2019,AVERAGE,5,Quintal,1200.0,1800.0,1500.0
13,BANGARPET,17/01/2019,AVERAGE,6,Quintal,1200.0,1800.0,1500.0
14,BANGARPET,18/01/2019,AVERAGE,4,Quintal,1000.0,1200.0,1100.0
15,BANGARPET,19/01/2019,AVERAGE,7,Quintal,1000.0,1200.0,1100.0
16,BANGARPET,21/01/2019,AVERAGE,16,Quintal,1000.0,1800.0,1500.0
17,BANGARPET,22/01/2019,AVERAGE,6,Quintal,800.0,1000.0,900.0
18,BANGARPET,23/01/2019,AVERAGE,5,Quintal,800.0,1000.0,900.0
19,BANGARPET,24/01/2019,AVERAGE,8,Quintal,800.0,1000.0,900.0
20,BANGARPET,25/01/2019,AVERAGE,5,Quintal,700.0,1000.0,900.0
21,BANGARPET,26/01/2019,AVERAGE,5,Quintal,800.0,900.0,850.0
22,BANGARPET,28/01/2019,AVERAGE,13,Quintal,600.0,800.0,700.0
