,Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
0,BANGARPET,02/01/2019,AVERAGE,8,Quintal,50.0,80.0,60.0
1,BANGARPET,03/01/2019,AVERAGE,4,Quintal,100.0,200.0,150.0
2,BANGARPET,04/01/2019,AVERAGE,5,Quintal,100.0,200.0,150.0
3,BANGARPET,05/01/2019,AVERAGE,4,Quintal,150.0,200.0,170.0
4,BANGARPET,07/01/2019,AVERAGE,4,Quintal,100.0,150.0,120.0
5,BANGARPET,08/01/2019,AVERAGE,4,Quintal,150.0,180.0,160.0
6,BANGARPET,10/01/2019,AVERAGE,2,Quintal,180.0,220.0,200.0
7,BANGARPET,11/01/2019,AVERAGE,6,Quintal,150.0,200.0,170.0
8,BANGARPET,14/01/2019,AVERAGE,28,Quintal,120.0,180.0,150.0
9,BANGARPET,15/01/2019,AVERAGE,13,Quintal,120.0,180.0,150.0
10,BANGARPET,18/01/2019,AVERAGE,2,Quintal,150.0,200.0,180.0
11,BANGARPET,19/01/2019,AVERAGE,6,Quintal,150.0,180.0,170.0
12,BANGARPET,21/01/2019,AVERAGE,5,Quintal,200.0,300.0,250.0
13,BANGARPET,22/01/2019,AVERAGE,10,Quintal,200.0,300.0,250.0
14,BANGARPET,24/01/2019,AVERAGE,3,Quintal,200.0,250.0,220.0
15,BANGARPET,26/01/2019,AVERAGE,1,Quintal,80.0,120.0,100.0
16,BANGARPET,28/01/2019,AVERAGE,2,Quintal,80.0,150.0,100.0
17,BANGARPET,29/01/2019,AVERAGE,4,Quintal,80.0,120.0,100.0
18,BANGARPET,30/01/2019,AVERAGE,2,Quintal,80.0,150.0,120.0
19,BINNY MILL (F&V),01/01/2019,AVERAGE,69,Quintal,600.0,800.0,700.0
20,BINNY MILL (F&V),02/01/2019,AVERAGE,175,Quintal,600.0,800.0,700.0
21,BINNY MILL (F&V),03/01/2019,AVERAGE,188,Quintal,600.0,800.0,700.0
22,BINNY MILL (F&V),04/01/2019,AVERAGE,173,Quintal,600.0,800.0,700.0
23,BINNY MILL (F&V),05/01/2019,AVERAGE,248,Quintal,600.0,800.0,700.0
24,BINNY MILL (F&V),07/01/2019,AVERAGE,225,Quintal,800.0,1000.0,900.0
25,BINNY MILL (F&V),08/01/2019,AVERAGE,200,Quintal,800.0,1200.0,1000.0
26,BINNY MILL (F&V),09/01/2019,AVERAGE,145,Quintal,1000.0,1200.0,1100.0
27,BINNY MILL (F&V),10/01/2019,AVERAGE,288,Quintal,1000.0,1400.0,1200.0
28,BINNY MILL (F&V),11/01/2019,AVERAGE,53,Quintal,1000.0,1400.0,1200.0
29,BINNY MILL (F&V),14/01/2019,AVERAGE,148,Quintal,1200.0,1800.0,1500.0
30,BINNY MILL (F&V),16/01/2019,AVERAGE,163,Quintal,1000.0,1400.0,1200.0
31,BINNY MILL (F&V),17/01/2019,AVERAGE,232,Quintal,1000.0,1200.0,1100.0
