Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
ARAKALGUD,01/01/2019,AVERAGE,25,Quintal,1000.0,1000.0,1000.0
,04/01/2019,AVERAGE,30,Quintal,1000.0,1000.0,1000.0
,10/01/2019,AVERAGE,10,Quintal,1000.0,1000.0,1000.0
,19/01/2019,AVERAGE,15,Quintal,1000.0,1000.0,1000.0
,30/01/2019,AVERAGE,10,Quintal,1000.0,1000.0,1000.0
,31/01/2019,AVERAGE,110,Quintal,1000.0,1000.0,1000.0
Sub Total,Sub Total,Sub Total,200,,,,
BAGEPALLI,01/01/2019,AVERAGE,5,Quintal,1500.0,2100.0,1840.0
,02/01/2019,AVERAGE,4,Quintal,1200.0,1900.0,1710.0
,03/01/2019,AVERAGE,5,Quintal,800.0,1500.0,1320.0
,19/01/2019,AVERAGE,10,Quintal,1800.0,2600.0,2100.0
,22/01/2019,AVERAGE,5,Quintal,1800.0,2600.0,2100.0
,23/01/2019,AVERAGE,5,Quintal,1900.0,3200.0,2500.0
,24/01/2019,AVERAGE,5,Quintal,1700.0,2600.0,2120.0
,28/01/2019,AVERAGE,7,Quintal,2000.0,3500.0,2560.0
,30/01/2019,AVERAGE,6,Quintal,2000.0,3200.0,2840.0
,31/01/2019,AVERAGE,4,Quintal,1900.0,3200.0,2840.0
Sub Total,Sub Total,Sub Total,56,,,,
BANGARPET,08/01/2019,AVERAGE,3,Quintal,1500.0,2000.0,1800.0
Sub Total,Sub Total,Sub Total,3,,,,
BELUR,03/01/2019,AVERAGE,15,Quintal,2000.0,2000.0,2000.0
,07/01/2019,AVERAGE,10,Quintal,2000.0,2000.0,2000.0
,10/01/2019,AVERAGE,10,Quintal,2000.0,2000.0,2000.0
,14/01/2019,AVERAGE,15,Quintal,2000.0,2000.0,2000.0
,17/01/2019,AVERAGE,4,Quintal,2500.0,2500.0,2500.0
,18/01/2019,AVERAGE,21,Quintal,2000.0,2400.0,2000.0
,20/01/2019,AVERAGE,308,Quintal,2500.0,3600.0,3000.0
,21/01/2019,AVERAGE,5,Quintal,2000.0,2000.0,2000.0
,24/01/2019,AVERAGE,18,Quintal,2000.0,2500.0,2000.0
,28/01/2019,AVERAGE,10,Quintal,2000.0,2000.0,2000.0
,31/01/2019,AVERAGE,15,Quintal,2000.0,2000.0,2000.0
Sub Total,Sub Total,Sub Total,431,,,,
BINNY MILL (F&V),01/01/2019,AVERAGE,164,Quintal,2000.0,2600.0,2300.0
,02/01/2019,AVERAGE,255,Quintal,2000.0,2500.0,2300.0
,03/01/2019,AVERAGE,258,Quintal,2000.0,2600.0,2300.0
,04/01/2019,AVERAGE,386,Quintal,2000.0,2600.0,2400.0
,05/01/2019,AVERAGE,300,Quintal,2200.0,2600.0,2400.0
,07/01/2019,AVERAGE,258,Quintal,2400.0,2800.0,2600.0
,08/01/2019,AVERAGE,252,Quintal,2200.0,2800.0,2500.0
,09/01/2019,AVERAGE,233,Quintal,2000.0,2800.0,2400.0
,10/01/2019,AVERAGE,345,Quintal,2200.0,2800.0,2500.0
,11/01/2019,AVERAGE,168,Quintal,2200.0,2800.0,2400.0
,14/01/2019,AVERAGE,158,Quintal,2200.0,2800.0,2400.0
,16/01/2019,AVERAGE,237,Quintal,2200.0,2500.0,2300.0
,17/01/2019,AVERAGE,233,Quintal,2200.0,2600.0,2400.0
,18/01/2019,AVERAGE,273,Quintal,2200.0,2600.0,2400.0
,19/01/2019,AVERAGE,279,Quintal,2200.0,3000.0,2500.0
,21/01/2019,AVERAGE,297,Quintal,2000.0,2600.0,2300.0
,23/01/2019,AVERAGE,251,Quintal,2000.0,2600.0,2400.0
,24/01/2019,AVERAGE,239,Quintal,1600.0,2200.0,1800.0
,25/01/2019,AVERAGE,316,Quintal,1400.0,2000.0,1800.0
,28/01/2019,AVERAGE,122,Quintal,1800.0,2800.0,2400.0
,29/01/2019,AVERAGE,285,Quintal,2000.0,2800.0,2400.0
,30/01/2019,AVERAGE,237,Quintal,2000.0,2800.0,2400.0
,31/01/2019,AVERAGE,343,Quintal,2000.0,2800.0,2400.0
Sub Total,Sub Total,Sub Total,5889,,,,
C.R.NAGAR,01/01/2019,AVERAGE,1,Quintal,2000.0,26000.0,2500.0
,03/01/2019,AVERAGE,1,Quintal,2100.0,2400.0,2300.0
,04/01/2019,AVERAGE,1,Quintal,1500.0,1800.0,1600.0
,05/01/2019,AVERAGE,1,Quintal,1500.0,2000.0,2000.0
,08/01/2019,AVERAGE,1,Quintal,1500.0,1900.0,1800.0
,10/01/2019,AVERAGE,1,Quintal,600.0,1000.0,900.0
,11/01/2019,AVERAGE,1,Quintal,2000.0,3000.0,2500.0
,12/01/2019,AVERAGE,1,Quintal,2500.0,3100.0,3000.0
,17/01/2019,AVERAGE,1,Quintal,1200.0,1500.0,1300.0
,18/01/2019,AVERAGE,1,Quintal,2000.0,2500.0,2100.0
,19/01/2019,AVERAGE,1,Quintal,1800.0,2200.0,1900.0
,24/01/2019,AVERAGE,1,Quintal,1000.0,1200.0,1000.0
,25/01/2019,AVERAGE,1,Quintal,800.0,1000.0,900.0
,28/01/2019,AVERAGE,1,Quintal,1000.0,1200.0,1100.0
