,Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
0,BANGARPET,03/01/2019,AVERAGE,1,Quintal,1200.0,1600.0,1500.0
1,BANGARPET,05/01/2019,AVERAGE,1,Quintal,1000.0,1600.0,1200.0
2,BANGARPET,07/01/2019,AVERAGE,1,Quintal,800.0,1100.0,900.0
3,BANGARPET,11/01/2019,AVERAGE,1,Quintal,1000.0,1600.0,1300.0
4,BANGARPET,12/01/2019,AVERAGE,1,Quintal,1000.0,1600.0,1200.0
5,BANGARPET,14/01/2019,AVERAGE,1,Quintal,1000.0,1600.0,1300.0
6,BANGARPET,16/01/2019,AVERAGE,1,Quintal,1200.0,1500.0,1300.0
7,BANGARPET,21/01/2019,AVERAGE,6,Quintal,1200.0,1500.0,1300.0
8,BANGARPET,22/01/2019,AVERAGE,1,Quintal,1200.0,1500.0,1300.0
9,BANGARPET,25/01/2019,AVERAGE,1,Quintal,800.0,1000.0,850.0
10,BANGARPET,26/01/2019,AVERAGE,1,Quintal,800.0,1000.0,900.0
11,BANGARPET,28/01/2019,AVERAGE,2,Quintal,800.0,1000.0,900.0
12,BANGARPET,29/01/2019,AVERAGE,1,Quintal,800.0,1200.0,1000.0
13,BANGARPET,30/01/2019,AVERAGE,1,Quintal,800.0,1200.0,1000.0
14,BINNY MILL (F&V),01/01/2019,AVERAGE,140,Quintal,1600.0,2000.0,1800.0
15,BINNY MILL (F&V),02/01/2019,AVERAGE,145,Quintal,1400.0,2000.0,1800.0
16,BINNY MILL (F&V),03/01/2019,AVERAGE,172,Quintal,1600.0,2000.0,1800.0
17,BINNY MILL (F&V),04/01/2019,AVERAGE,173,Quintal,1400.0,2000.0,1800.0
18,BINNY MILL (F&V),05/01/2019,AVERAGE,128,Quintal,1400.0,2000.0,1800.0
19,BINNY MILL (F&V),07/01/2019,AVERAGE,124,Quintal,1800.0,2800.0,2300.0
20,BINNY MILL (F&V),08/01/2019,AVERAGE,187,Quintal,2400.0,3000.0,2800.0
21,BINNY MILL (F&V),09/01/2019,AVERAGE,106,Quintal,2600.0,3400.0,3000.0
22,BINNY MILL (F&V),10/01/2019,AVERAGE,191,Quintal,2400.0,3400.0,2800.0
23,BINNY MILL (F&V),11/01/2019,AVERAGE,122,Quintal,2400.0,3200.0,2800.0
24,BINNY MILL (F&V),14/01/2019,AVERAGE,122,Quintal,2400.0,2800.0,2600.0
25,BINNY MILL (F&V),16/01/2019,AVERAGE,143,Quintal,2400.0,2800.0,2600.0
26,BINNY MILL (F&V),17/01/2019,AVERAGE,126,Quintal,2600.0,3200.0,2800.0
27,BINNY MILL (F&V),18/01/2019,AVERAGE,200,Quintal,2400.0,3000.0,2800.0
28,BINNY MILL (F&V),19/01/2019,AVERAGE,144,Quintal,2400.0,3000.0,2800.0
29,BINNY MILL (F&V),21/01/2019,AVERAGE,100,Quintal,2600.0,3500.0,3000.0
30,BINNY MILL (F&V),23/01/2019,AVERAGE,144,Quintal,2400.0,2800.0,2500.0
31,BINNY MILL (F&V),24/01/2019,AVERAGE,124,Quintal,2400.0,3000.0,2600.0
32,BINNY MILL (F&V),25/01/2019,AVERAGE,82,Quintal,2400.0,3000.0,2800.0
33,BINNY MILL (F&V),28/01/2019,AVERAGE,143,Quintal,2000.0,2500.0,2300.0
34,BINNY MILL (F&V),29/01/2019,AVERAGE,149,Quintal,2400.0,2800.0,2600.0
35,BINNY MILL (F&V),30/01/2019,AVERAGE,146,Quintal,2000.0,2600.0,2300.0
36,BINNY MILL (F&V),31/01/2019,AVERAGE,135,Quintal,2200.0,2600.0,2400.0
37,C.R.NAGAR,03/01/2019,AVERAGE,1,Quintal,1200.0,1500.0,1400.0
38,C.R.NAGAR,18/01/2019,AVERAGE,1,Quintal,1200.0,1500.0,1300.0
39,C.R.NAGAR,25/01/2019,AVERAGE,1,Quintal,1500.0,1700.0,1600.0
40,CHANNAPATNA,01/01/2019,AVERAGE,2,Quintal,1700.0,2000.0,1900.0
41,CHANNAPATNA,02/01/2019,AVERAGE,2,Quintal,1800.0,2100.0,1900.0
42,CHANNAPATNA,03/01/2019,AVERAGE,2,Quintal,1800.0,2100.0,1900.0
43,CHANNAPATNA,04/01/2019,AVERAGE,3,Quintal,1600.0,2000.0,1800.0
44,CHANNAPATNA,05/01/2019,AVERAGE,2,Quintal,1600.0,2000.0,1800.0
45,CHANNAPATNA,07/01/2019,AVERAGE,2,Quintal,1500.0,2000.0,1700.0
46,CHANNAPATNA,08/01/2019,AVERAGE,2,Quintal,1600.0,2000.0,1800.0
47,CHANNAPATNA,09/01/2019,AVERAGE,3,Quintal,1600.0,2000.0,1800.0
48,CHANNAPATNA,10/01/2019,AVERAGE,2,Quintal,1800.0,2200.0,2000.0
49,CHANNAPATNA,11/01/2019,AVERAGE,3,Quintal,1700.0,2100.0,1900.0
50,CHANNAPATNA,12/01/2019,AVERAGE,2,Quintal,1800.0,2000.0,1900.0
51,CHANNAPATNA,18/01/2019,AVERAGE,3,Quintal,1600.0,2000.0,1800.0
52,CHANNAPATNA,19/01/2019,AVERAGE,2,Quintal,2000.0,2400.0,2200.0
53,CHANNAPATNA,21/01/2019,AVERAGE,2,Quintal,2000.0,2400.0,2200.0
54,CHANNAPATNA,22/01/2019,AVERAGE,3,Quintal,1800.0,2200.0,2000.0
55,CHANNAPATNA,23/01/2019,AVERAGE,2,Quintal,2000.0,2400.0,2200.0
56,CHANNAPATNA,24/01/2019,AVERAGE,2,Quintal,2000.0,2400.0,2200.0
57,CHANNAPATNA,25/01/2019,AVERAGE,2,Quintal,1900.0,2500.0,2200.0
58,CHANNAPATNA,26/01/2019,AVERAGE,3,Quintal,2000.0,2300.0,2100.0
59,CHANNAPATNA,28/01/2019,AVERAGE,3,Quintal,2200.0,2600.0,2300.0
60,CHANNAPATNA,29/01/2019,AVERAGE,3,Quintal,1800.0,2200.0,2000.0
61,CHANNAPATNA,30/01/2019,AVERAGE,3,Quintal,2000.0,2400.0,2200.0
62,CHANNAPATNA,31/01/2019,AVERAGE,2,Quintal,2000.0,2400.0,2200.0
63,DODDABALLAPUR,01/01/2019,AVERAGE,3,Quintal,1800.0,2200.0,2000.0
64,DODDABALLAPUR,02/01/2019,AVERAGE,4,Quintal,1800.0,2200.0,2000.0
65,DODDABALLAPUR,03/01/2019,AVERAGE,2,Quintal,1800.0,2200.0,2000.0
66,DODDABALLAPUR,04/01/2019,AVERAGE,4,Quintal,1800.0,2200.0,2000.0
67,DODDABALLAPUR,05/01/2019,AVERAGE,3,Quintal,1800.0,2200.0,2000.0
68,DODDABALLAPUR,07/01/2019,AVERAGE,2,Quintal,1800.0,2400.0,2100.0
69,DODDABALLAPUR,08/01/2019,AVERAGE,3,Quintal,1800.0,2400.0,2100.0
70,DODDABALLAPUR,09/01/2019,AVERAGE,4,Quintal,2000.0,3000.0,2500.0
71,DODDABALLAPUR,10/01/2019,AVERAGE,4,Quintal,1600.0,2400.0,2000.0
72,DODDABALLAPUR,11/01/2019,AVERAGE,4,Quintal,1800.0,2200.0,2000.0
73,DODDABALLAPUR,14/01/2019,AVERAGE,2,Quintal,1600.0,2400.0,2000.0
74,DODDABALLAPUR,16/01/2019,AVERAGE,3,Quintal,1800.0,2200.0,2000.0
75,DODDABALLAPUR,17/01/2019,AVERAGE,2,Quintal,1800.0,2400.0,2100.0
76,DODDABALLAPUR,18/01/2019,AVERAGE,3,Quintal,1800.0,2200.0,2000.0
77,DODDABALLAPUR,19/01/2019,AVERAGE,2,Quintal,1800.0,2200.0,2000.0
78,DODDABALLAPUR,21/01/2019,AVERAGE,2,Quintal,1400.0,2000.0,1700.0
79,DODDABALLAPUR,22/01/2019,AVERAGE,4,Quintal,1600.0,2000.0,1800.0
80,DODDABALLAPUR,23/01/2019,AVERAGE,3,Quintal,1600.0,2200.0,1900.0
81,DODDABALLAPUR,24/01/2019,AVERAGE,4,Quintal,1600.0,2000.0,1800.0
82,DODDABALLAPUR,25/01/2019,AVERAGE,3,Quintal,1800.0,2200.0,2000.0
83,DODDABALLAPUR,28/01/2019,AVERAGE,2,Quintal,1800.0,2400.0,2100.0
84,DODDABALLAPUR,29/01/2019,AVERAGE,4,Quintal,1800.0,2200.0,2000.0
85,DODDABALLAPUR,30/01/2019,AVERAGE,3,Quintal,1800.0,2200.0,2000.0
86,DODDABALLAPUR,31/01/2019,AVERAGE,4,Quintal,1600.0,2200.0,1900.0
87,MYSURU,01/01/2019,AVERAGE,69,Quintal,1200.0,1400.0,1300.0
88,MYSURU,05/01/2019,AVERAGE,66,Quintal,1800.0,2000.0,1900.0
