Market,Date,Grade,Arrivals,Unit,Min,Max,Modal
BAGEPALLI,01/01/2019,AVERAGE,2,Quintal,600.0,1000.0,840.0
Sub Total,Sub Total,Sub Total,2,,,,
BANGARPET,03/01/2019,AVERAGE,1,Quintal,1200.0,1600.0,1500.0
,05/01/2019,AVERAGE,1,Quintal,1000.0,1600.0,1200.0
,07/01/2019,AVERAGE,1,Quintal,800.0,1100.0,900.0
,11/01/2019,AVERAGE,1,Quintal,1000.0,1600.0,1300.0
,12/01/2019,AVERAGE,1,Quintal,1000.0,1600.0,1200.0
,14/01/2019,AVERAGE,1,Quintal,1000.0,1600.0,1300.0
,16/01/2019,AVERAGE,1,Quintal,1200.0,1500.0,1300.0
,21/01/2019,AVERAGE,6,Quintal,1200.0,1500.0,1300.0
,22/01/2019,AVERAGE,1,Quintal,1200.0,1500.0,1300.0
,25/01/2019,AVERAGE,1,Quintal,800.0,1000.0,850.0
,26/01/2019,AVERAGE,1,Quintal,800.0,1000.0,900.0
,28/01/2019,AVERAGE,2,Quintal,800.0,1000.0,900.0
,29/01/2019,AVERAGE,1,Quintal,800.0,1200.0,1000.0
,30/01/2019,AVERAGE,1,Quintal,800.0,1200.0,1000.0
Sub Total,Sub Total,Sub Total,20,,,,
BINNY MILL (F&V),01/01/2019,AVERAGE,140,Quintal,1600.0,2000.0,1800.0
,02/01/2019,AVERAGE,145,Quintal,1400.0,2000.0,1800.0
,03/01/2019,AVERAGE,172,Quintal,1600.0,2000.0,1800.0
,04/01/2019,AVERAGE,173,Quintal,1400.0,2000.0,1800.0
,05/01/2019,AVERAGE,128,Quintal,1400.0,2000.0,1800.0
,07/01/2019,AVERAGE,124,Quintal,1800.0,2800.0,2300.0
,08/01/2019,AVERAGE,187,Quintal,2400.0,3000.0,2800.0
,09/01/2019,AVERAGE,106,Quintal,2600.0,3400.0,3000.0
,10/01/2019,AVERAGE,191,Quintal,2400.0,3400.0,2800.0
,11/01/2019,AVERAGE,122,Quintal,2400.0,3200.0,2800.0
,14/01/2019,AVERAGE,122,Quintal,2400.0,2800.0,2600.0
,16/01/2019,AVERAGE,143,Quintal,2400.0,2800.0,2600.0
,17/01/2019,AVERAGE,126,Quintal,2600.0,3200.0,2800.0
,18/01/2019,AVERAGE,200,Quintal,2400.0,3000.0,2800.0
,19/01/2019,AVERAGE,144,Quintal,2400.0,3000.0,2800.0
,21/01/2019,AVERAGE,100,Quintal,2600.0,3500.0,3000.0
,23/01/2019,AVERAGE,144,Quintal,2400.0,2800.0,2500.0
,24/01/2019,AVERAGE,124,Quintal,2400.0,3000.0,2600.0
,25/01/2019,AVERAGE,82,Quintal,2400.0,3000.0,2800.0
,28/01/2019,AVERAGE,143,Quintal,2000.0,2500.0,2300.0
,29/01/2019,AVERAGE,149,Quintal,2400.0,2800.0,2600.0
,30/01/2019,AVERAGE,146,Quintal,2000.0,2600.0,2300.0
,31/01/2019,AVERAGE,135,Quintal,2200.0,2600.0,2400.0
Sub Total,Sub Total,Sub Total,3246,,,,
C.R.NAGAR,03/01/2019,AVERAGE,1,Quintal,1200.0,1500.0,1400.0
,18/01/2019,AVERAGE,1,Quintal,1200.0,1500.0,1300.0
,25/01/2019,AVERAGE,1,Quintal,1500.0,1700.0,1600.0
Sub Total,Sub Total,Sub Total,3,,,,
CHANNAPATNA,01/01/2019,AVERAGE,2,Quintal,1700.0,2000.0,1900.0
,02/01/2019,AVERAGE,2,Quintal,1800.0,2100.0,1900.0
